	Cell_type	Age	HSCScore
X2020_246s_A1_S1_L002_R1_001.2020_246s_A1_S1_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.39852426510993394
X2020_246s_A2_S9_L002_R1_001.2020_246s_A2_S9_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.407910215150966
X2020_246s_A5_S33_L002_R1_001.2020_246s_A5_S33_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.04064227333406838
X2020_246s_A6_S41_L002_R1_001.2020_246s_A6_S41_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0062106746427420395
X2020_246s_A7_S49_L002_R1_001.2020_246s_A7_S49_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult	0.3120238824841134
X2020_246s_A12_S89_L002_R1_001.2020_246s_A12_S89_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.009539294590311928
X2020_246s_A17_S129_L002_R1_001.2020_246s_A17_S129_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	-0.0023744156998474902
X2020_246s_A18_S137_L002_R1_001.2020_246s_A18_S137_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0034786355836019245
X2020_246s_A20_S153_L002_R1_001.2020_246s_A20_S153_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.14328210373660538
X2020_246s_A24_S185_L002_R1_001.2020_246s_A24_S185_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.006342409127246096
X2020_246s_B2_S201_L002_R1_001.2020_246s_B2_S201_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.2847169591384153
X2020_246s_B5_S225_L002_R1_001.2020_246s_B5_S225_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.17979111890096683
X2020_246s_B12_S281_L002_R1_001.2020_246s_B12_S281_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.0036803091947337774
X2020_246s_B14_S297_L002_R1_001.2020_246s_B14_S297_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.47909384650379144
X2020_246s_B17_S321_L002_R1_001.2020_246s_B17_S321_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.19179802361524817
X2020_246s_B18_S329_L002_R1_001.2020_246s_B18_S329_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	-0.0026643576778199174
X2020_246s_B24_S377_L002_R1_001.2020_246s_B24_S377_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.004829339246737119
X2020_246s_C2_S10_L002_R1_001.2020_246s_C2_S10_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.4117402833384464
X2020_246s_C5_S34_L002_R1_001.2020_246s_C5_S34_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.010335658474867046
X2020_246s_C24_S186_L002_R1_001.2020_246s_C24_S186_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.023372792961640285
X2020_246s_D5_S226_L002_R1_001.2020_246s_D5_S226_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult	0.11619819924611811
X2020_246s_D6_S234_L002_R1_001.2020_246s_D6_S234_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.05313396958440518
X2020_246s_D12_S282_L002_R1_001.2020_246s_D12_S282_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult	0.042652964835283316
X2020_246s_D14_S298_L002_R1_001.2020_246s_D14_S298_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult	0.258642430371063
