C1_cluster_Rodriguez;C2_cluster_Rodriguez;C3_cluster_Rodriguez;Mk_cluster_Rodriguez;Er_cluster_Rodriguez;Ba_cluster_Rodriguez;Neu_cluster_Rodriguez;Mo1_cluster_Rodriguez;Mo2_cluster_Rodriguez;preDC_cluster_Rodriguez;preB_cluster_Rodriguez;preT_cluster_Rodriguez;Mye_Chambers;NK_Chambers;NaiveT_Chambers;Ner_Chambers;Mm_HSC_Runx1_Wu;Mm_HSC_Tcf7_Wu;Mm_HSC_Ivanova;Mm_HSC_Ramalho;HSC_Explorer;Mm_LT_HSC_Venezia;Mm_Proliferation_Venezia;Mm_Quiescence_Venezia;Mm_Adult_HSC_UP_Venezia;Polarity_factors_Ting;Novel_HSC_regul_polar_Ting;Svendsen;MGA_MEP
Sult1a1;Dntt;Tcf19;Pf4;Klf1;Fcer1a;Wfdc21;Fn1;Ace;Plbd1;Tff1;Ccl5;Ccr1;Klre1;Cd5;Klf1;1110007C09Rik;1110007C09Rik;1110017D15Rik;0610009D07Rik;ALDOA;Cd1d2;GeneSymbol;Igh-4;Gnb5;Akt1;Ap2a2;Selp;Med1
Wfdc2;Gm5111;Ccne2;Tuba8;Mt2;Prss34;Camp;Chil3;Ear2;H2-Eb1;Lrrc4;Thy1;Il1b;Klrb1c;2610019F03Rik;Slc38a5;1700026L06Rik;1700025G04Rik;1300001I01Rik;0610010K06Rik;Ackr3;Smpd2;Gart;1200006I17Rik;Jun;Anapc5;Gpsm2;Mt1;B3galnt2
Cdkn1c;Flt3;Rad51;Serpine2;Car1;Mcpt8;Fcnb;F13a1;Fcgr4;Pld4;Gm4857;Gimap4;Scrg1;Klrb1d;Cd6;Agtr1;2310014H01Rik;1700026L06Rik;1700007K13Rik;0610011F06Rik;Actg1;2610007K22Rik;Gpi1;Crem;AI643885;Ap2a2;Tmod1;Nupr1;Prelid2
Tinagl1;9030619P08Rik;Brca1;Gata1;Atp1b2;Ms4a2;Ngp;I830127L07Rik;Clec4a1;Lgals3;Mzb1;Id2;Fcgr3a;Klrk1;2310032F03Rik;3110004L20Rik;2810408A11Rik;2310014H01Rik;1700010I14Rik;0610031J06Rik;Adipoq;Il4ra;Atp5a1;Snx17;3110043O21Rik;Apc;Kif3a;Plscr2;Rpl21
Pygm;Il1r1;Uhrf1;Slc14a1;Ces2g;Gzmb;S100a8;Lgals3;Fgr;Mpeg1;Ly6d;Icos;4930518F03Rik;Klra21;St8sia1;Epb4.9;2900026A02Rik;2310047C17RIK;2310036O22Rik;1110001J03Rik;Agtr2;Araf;Pep4;BC010348;Rnf19;AurkA;Racgap1;Clec1a;Rpl24
Art4;Vldlr;Mybl2;Ehd3;Aqp1;Cd200r3;Ms4a3;C3;Cd36;Itgb7;Derl3;Bcl11b;Bst1;4631423F02Rik;Nsg2;C730029A08Rik;4931406C07Rik;2900026A02Rik;2410004B18Rik;1110007C09Rik;Aif1;Inpp5d;Pja1;Cerk;Crem;AurkB;Ccnb1;Gstm2;Pih1d1
Ndn;;Rad54b;Rab27b;Abcb4;Alox5;Hp;Pld4;Apoc2;Id2;Cd79a;St3gal6;LOC381948;Ncr1;Tmie;Sox6;5031439G07Rik;4930427A07Rik;2610002J02Rik;1110007M04Rik;Akt1;6330580J24Rik;Pigf;Acox1;Anxa4;AurkC;;Enpp5;Cd3eap
Tgm2;;Rrm2;Gp9;Samd14;Hdc;Elane;Ifitm6;Plbd1;Ly86;Prg2;Maf;Pira6;A630024B12Rik;Trat1;AI661323;A430078G23Rik;4930515G01Rik;2900002H16Rik;1110014J01Rik;Akt2;Txnip;0610009H04Rik;Cd1d2;Cd24a;Bicd1;;Itgb3;Armc9
Mmrn1;;Pkmyt1;Vwf;Trib2;Cpa3;Anxa3;Tgfbi;Gngt2;H2-Aa;Pou2af1;Ets1;Ceacam10;A630098A13Rik;Slc16a5;Ppap2a;AW411699;5031439G07Rik;4931414P19Rik;1110019N10Rik;Angpt1;Gab1;Tfdp1;Smpd2;Pkd2;Bmp4;;Clca3a1;Wdhd1
Hid1;;Atad5;Samd14;Ermap;Cyp4f18;S100a9;Plbd1;Lgmn;Cd74;Olfr1443;Evl;Trpm2;Phactr3;9130430L19Rik;Samd11;Abca2;ARHC;5830418K08Rik;1110038D17Rik;Angpt2;Hist1h1c;Atox1;2610007K22Rik;Mkrn1;Carm1;;Zg16;Gtpbp4
