aHSC;myLT-HSC ;TAZ-induced ;LT-HSC_Kim_et_al ;LT-HSC_Cabezas-Wallscheid_et_al;Myeloid_precursors_up_Sapienza_et_al;Lymphoid_precursors_up_Sapienza_et_al;HSC_MPP_eFL_Roy_et_al;HSC_MPP_FL_Roy_et_al;HSC_MPP_FBM_Roy_et_al;HSC_MPP_PBM_Roy_et_al;HSC_MPP_ABM_Roy_et_al
Abcb1a;Dnm3;Ace;Hbb-bs;Smtnl1;CHPT1;GNRHR;HBA2;SDF2L1;ID3;LAIR2;GRASP
Abcb1b;Ptafr;Chrnb1;Gm15915;Arxes1;MEIS3P1;RAG2;IGFBP2;DLK1;PRTN3;C3orf80;SOCS3
Acpp;Thsd4;Aldh3a1;Epdr1;Glis1;PTPN2;ENPEP;HBG2;HSPA1B;TNFRSF12A;PRKG2;NEDD4L
Acsl4;Gstm2;Alox5;Art4;Gfi1;GIMAP6;PARK2;CTHRC1;PTGS2;EMP1;AKR1C3;SLC2A3
Adgrg2;Tm4sf1;Rhod;Hba-a2;Gm15034;HEBP2;PCLO;GIMAP6;TIPARP;CD83;FAM30A;INAFM2
Alcam;Gpx3;Bgn;Ly6a;Sema6d;LHFPL2;WDR1;PTAFR;CXCL8;MLF1;ADGRG6;KLF9
Amotl2;Sbspon;Bmp2;Aldh1a1;Inhba;TNFSF10;PCK1;PCNA;CXCL3;S100A10;MTRNR2L12;CEBPB
Arhgef28;Gpr183;Anxa2;Aplp2;Atf7ip2;RHOT2;PDGFRA;TNFAIP8L2;DUSP10;HES1;AJ009632.2;AREG
Art4;Gprc5c;Car8;Aqp1;Shd;EVI2B;KRT12;CHD7;HIST1H2BD;CXCL8;FTX;TCEAL2
B3galt1;Cadm1;Car2;Atp1b2;Slamf8;CSF2RB;ADH1B;WDR3;IQGAP1;SERTAD1;PCDH9;IER5
Bmpr1a;Ramp2;Serpinh1;Car1;Dnm3;CASP4;ITGB1BP1;CPT2;HIST1H2AE;PLK3;PPP1R14B;CABLES1
Casp12;Dhrs3;Cd24a;Cdkn1c;Neo1;C4orf41;CFHR4;FAM43A;IPO11;PTX3;CXCR4;MAP3K8
Cavin2;Selp;Cd9;Cish;Gm9378;PTGS1;ZNF192;MRM2;;RGS1;MTURN;SKI
Cd200r4;Gda;Cdkn1c;Cpox;Cyp26b1;ABCC4;SLC19A3;FEN1;;MAP9;YPEL3;BCL3
Cd38;Ehd3;Clca3a1;Epor;A3galt2;TMBIM1;SULT2A1;HYAL2;;NR4A1;CD81;OSGIN2
Cd63;Clca3a1;Cnn2;Mecom;Gimap3;NOP10;NFASC;CSE1L;;SLC25A33;MAN1A1;BHLHE40
Cd9;Ptprk;Col4a5;Fhl1;Pianp;GOLGA4;IL4I1;CCDC86;;MPO;EREG;FOSL2
Chrna7;Vwf;Csrp3;Gda;Zfp711;UBE2D1;NUP62;TPM2;;TIPARP;MT-ATP8;HBB
Clca3a1;Gm9199;Cyb561;Grb10;Loxl2;C7orf54;SIGLEC11;Z93241.1;;NINJ1;VEGFB;DDIT4
Cldn12;Nupr1;Dr1;H2-Aa;Sel1l3;ID2;SIRPB1;UNG;;PRR7;FLT3;CLU
Clec1a;Clec1a;Efnb2;H2-Eb1;Klrb1c;FADS1;TNNT3;HACD3;;CDC42EP3;ABHD17A;FURIN
Clec1b;Med1;Fcer1a;Hbb-b2;Clec7a;AHR;SP4;SLC29A1;;PNP;ZNRF1;NFIL3
Clu;Jam2;Fgf3;Hbb-b2;Fut4;PEX5;PAX2;LMNB1;;SKIL;PURA;PCDH9
Cntn1;Rorb;Gata2;Jchain;Gm11948;TMEM123;MRPS11;GMNN;;RELB;NPDC1;RNF103
Cpne8;Gpr64;Gdf10;Cd74;Efna1;ZNF330;GPR3;MCM2;;HIST1H2BD;SLC40A1;ARRDC2
Cxcl16;Piscr2;Gem;Itsn1;Nipal2;CD164;11-Sep;JPT2;;TSC22D2;PTMS;SEC14L1
Cyb561;Muc1;Gp1bb;Klf1;D230022J07Rik;E2F3;TAAR3;MCM6;;PTS;MT-ND6;MXD4
Cyp26b1;Jun;Gria4;Lhcgr;Meg3;WIPF1;GPC4;H2AFY2;;RASGEF1B;PLCB1;ANXA1
Cysltr2;Bmp4;Gzmb;Ltb;Fbxo2;SSR2;LRRN2;SLA;;IER3;IMPA2;SKIL
Cyyr1;Vmp1;Gzmc;Mt1;Exph5;ATXN1;FOXE1;WDR75;;CDKN2D;FAM89B;AC011139.1
Ddr1;Itgb3;Gzme;Mt2;Mfsd7a;C2CD2;MSTN;INKA1;;NFKBIB;ZNF787;ANKRD13D
Dennd5b;Osmr;Gzmf;Ndn;Tenc1;ANXA7;AGTR2;CD7;;NEU1;VAV3;USP12
Dhrs3;Myo1e;Gzmg;Ngp;Ncmap;GTF3C2;CDY1;IGF2BP1;;CSRNP1;CAST;NAMPT
Dnm3;Wwtr1;Heph;Nkx2-3;Igf2;MRPL13;FZD10;UHRF1;;RAB11FIP1;MBD2;NBL1
Dsg2;Epas1;Hoxa10;Npdc1;Zfp37;SEC23A;FRK;MRPL17;;PNMA1;HEXDC;YES1
Efna1;;Hoxa3;Abcb4;Sox9;RPL26L1;GPR19;CTPS1;;ELMSAN1;LRRC75A;GNA12
Ehd3;;Hoxa5;Pklr;Pde6b;RSL1D1;NR2C1;HMGCL;;SNHG9;MGLL;SOD2
Enpp5;;Igf2r;Procr;Setbp1;PHTF1;NEUROD1;CCDC58;;STK17A;CTDSPL;CSGALNACT2
Evc;;Cyr61;Cyth3;Gm13594;WIPF1;UGT2B15;CDCA4;;DPH3;SAP30;ARID5A
Exoc6b;;Igfbp5;Pygm;Gbp9;MED28;MID1;CD200;;PTPRE;SAMD1;TUSC1
Fap;;Kcna4;Pygm;Slc17a8;PAM16;GML;MT2A;;MARCKS;CRHBP;CD151
Fhl1;;Kcnk2;S100a8;Gm23706;ZFYVE16;PPIAL4A;WDR12;;ING2;TAF10;BEX5
Gabra4;;Lmna;S100a9;Syt13;WSB1;OR2B2;FANCL;;CXCL3;MAP2K2;IGHM
Gem;;Lpl;Slfn2;Igf1;C19orf2;SFTPA2;UMPS;;PLIN2;AC008105.3;ADNP2
Ghr;;Mcpt1;Sphk1;Nova1;ARL1;GYS2;MTAP;;MYLIP;C1orf21;JMY
