ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0065007	biological regulation	0.7141606	985.5416	1156	1.172959	0.8376812	5.092385e-27	6.665931965e-23	12332	1183.918	1264	1.067641	0.6153846	0.1024976	8.774794e-05	0.00369021821022364
GO:0050789	regulation of biological process	0.6887307	950.4483	1124	1.1826	0.8144928	2.606217e-26	1.7057690265e-22	11715	1124.684	1199	1.066077	0.583739	0.1023474	0.0002808477	0.00988251718548387
GO:0050794	regulation of cellular process	0.668373	922.3547	1090	1.181758	0.7898551	1.423872e-23	6.21282816e-20	11181	1073.418	1145	1.066686	0.5574489	0.1024059	0.0004723981	0.0151910187916667
GO:0048518	positive regulation of biological process	0.4300224	593.4309	769	1.295854	0.5572464	1.573537e-21	5.1493998325e-18	5281	506.9957	697	1.374765	0.3393379	0.1319826	2.402354e-23	4.49240198e-20
GO:0048583	regulation of response to stimulus	0.2979167	411.125	572	1.391304	0.4144928	2.571786e-20	6.732935748e-17	3491	335.1491	474	1.414296	0.2307692	0.1357777	3.965498e-17	3.70774063e-14
GO:0048522	positive regulation of cellular process	0.4018015	554.4861	716	1.291286	0.5188406	1.108805e-18	2.41904290833333e-15	4820	462.738	638	1.37875	0.3106134	0.1323651	3.082808e-21	3.36282972666667e-18
GO:0050896	response to stimulus	0.5096722	703.3477	863	1.226989	0.6253623	3.309992e-18	6.18968504e-15	8144	781.8545	813	1.039835	0.395813	0.09982809	0.07173013	0.496189069783413
GO:0023051	regulation of signaling	0.2792167	385.3191	533	1.383269	0.3862319	5.912383e-18	9.67413668375e-15	3108	298.3796	429	1.437766	0.2088608	0.1380309	1.320088e-16	1.079996995e-13
GO:0010646	regulation of cell communication	0.2781266	383.8147	531	1.38348	0.3847826	7.020964e-18	1.02116020844444e-14	3085	296.1715	428	1.445108	0.2083739	0.1387358	5.957888e-17	5.19925026133333e-14
GO:0009966	regulation of signal transduction	0.2500066	345.0092	487	1.411557	0.3528986	1.208115e-17	1.581422535e-14	2801	268.9065	391	1.454037	0.1903603	0.139593	7.763944e-16	5.64611260888889e-13
GO:0009987	cellular process	0.8087012	1116.008	1231	1.103039	0.892029	2.687415e-17	3.19802385e-14	14736	1414.711	1494	1.056046	0.7273612	0.1013844	3.310096e-05	0.00174714341290323
GO:0048584	positive regulation of response to stimulus	0.1643335	226.7802	338	1.49043	0.2449275	1.292015e-14	1.40937302916667e-11	1825	175.2068	264	1.506791	0.1285297	0.1446575	2.068627e-12	9.670831225e-10
GO:0044699	single-organism process	0.7764693	1071.528	1180	1.101232	0.8550725	1.216463e-13	1.22488466692308e-10	13115	1259.089	1361	1.08094	0.6626095	0.1037743	5.615552e-07	5.97622566504065e-05
GO:0044763	single-organism cellular process	0.6416077	885.4186	1013	1.144092	0.734058	1.464904e-13	1.36968524e-10	8980	862.1136	1071	1.242296	0.5214216	0.119265	1.074459e-22	1.406466831e-19
GO:0002684	positive regulation of immune system process	0.05706198	78.74553	149	1.892171	0.107971	1.73435e-13	1.51350943333333e-10	731	70.17873	110	1.567426	0.05355404	0.1504788	1.243462e-06	0.000118809617372263
GO:0002682	regulation of immune system process	0.09012561	124.3733	207	1.664344	0.15	5.116601e-13	4.1231498e-10	1150	110.4043	161	1.458277	0.07838364	0.14	5.040467e-07	5.59150110423729e-05
