ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0048583	regulation of response to stimulus	0.2979167	16.0875	32	1.989122	0.5925926	6.665918e-06	0.08725686662	3491	16.64323	35	2.102957	0.3431373	0.01002578	6.784403e-06	0.03053606402
GO:0048585	negative regulation of response to stimulus	0.1378213	7.442348	20	2.687324	0.3703704	1.698932e-05	0.1111950994	1409	6.717364	20	2.977358	0.1960784	0.01419446	9.423404e-06	0.03053606402
GO:0009968	negative regulation of signal transduction	0.1108731	5.987147	17	2.839416	0.3148148	4.700761e-05	0.205109871633333	1089	5.191774	17	3.274411	0.1666667	0.01561065	1.457968e-05	0.0318080018666667
GO:0009966	regulation of signal transduction	0.2500066	13.50036	27	1.999947	0.5	6.651446e-05	0.21766857035	2801	13.35368	30	2.246572	0.2941176	0.01071046	1.127898e-05	0.03053606402
GO:0065007	biological regulation	0.7141606	38.56467	50	1.296523	0.9259259	0.0001268106	0.27598399675	12332	58.79243	71	1.207639	0.6960784	0.005757379	0.00854185	0.476038704410646
GO:0050789	regulation of biological process	0.6887307	37.19146	49	1.317507	0.9074074	0.0001355884	0.27598399675	11715	55.8509	67	1.199623	0.6568627	0.005719163	0.01613235	0.624770596153846
GO:0010648	negative regulation of cell communication	0.1225388	6.617096	17	2.569103	0.3148148	0.0001642982	0.27598399675	1199	5.716195	17	2.974006	0.1666667	0.01417848	4.937005e-05	0.06735870526
GO:0023057	negative regulation of signaling	0.1228017	6.63129	17	2.563604	0.3148148	0.0001686686	0.27598399675	1203	5.735265	17	2.964117	0.1666667	0.01413134	5.145814e-05	0.06735870526
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.1910497	10.31669	22	2.132468	0.4074074	0.0001984038	0.288567304666667	1930	9.201215	22	2.390989	0.2156863	0.01139896	9.256597e-05	0.0986662240666667
GO:0046968	peptide antigen transport	5.640335e-06	0.0003045781	1	3283.23	0.01851852	0.0003045326	0.366354352	1	0.004767469	1	209.7549	0.009803922	1	0.004767469	0.360729301791907
GO:0048519	negative regulation of biological process	0.3896151	21.03921	34	1.61603	0.6296296	0.0003078608	0.366354352	4806	22.91246	39	1.702131	0.3823529	0.008114856	0.0002298651	0.143282579
GO:0007399	nervous system development	0.2615828	14.12547	26	1.840647	0.4814815	0.0004303639	0.451960113	2178	10.38355	27	2.600267	0.2647059	0.01239669	2.438221e-06	0.03053606402
GO:0010646	regulation of cell communication	0.2781266	15.01884	27	1.797743	0.5	0.0004517383	0.451960113	3085	14.70764	31	2.107748	0.3039216	0.01004862	2.753316e-05	0.047552599325
GO:0023051	regulation of signaling	0.2792167	15.0777	27	1.790724	0.5	0.0004833798	0.451960113	3108	14.81729	32	2.159639	0.3137255	0.01029601	1.166389e-05	0.03053606402
GO:0002489	antigen processing and presentation of endogenous peptide antigen via MHC class Ib via ER pathway, TAP-dependent	1.032393e-05	0.0005574923	1	1793.747	0.01851852	0.0005573398	0.486371865466667	2	0.009534938	1	104.8775	0.009803922	0.5	0.009512431	0.476038704410646
GO:1900124	negative regulation of nodal receptor complex assembly	1.21494e-05	0.0006560677	1	1524.233	0.01851852	0.0006558565	0.503643349611111	1	0.004767469	1	209.7549	0.009803922	1	0.004767469	0.360729301791907
GO:0044281	small molecule metabolic process	0.1121408	6.055602	15	2.477045	0.2777778	0.0006648026	0.503643349611111	1514	7.217948	17	2.35524	0.1666667	0.01122853	0.0007788224	0.2075444371
GO:0048523	negative regulation of cellular process	0.3689604	19.92386	32	1.606114	0.5925926	0.0006925577	0.503643349611111	4473	21.32489	36	1.688168	0.3529412	0.00804829	0.0005440876	0.2075444371
GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	1.683602e-05	0.0009091451	1	1099.934	0.01851852	0.0009087396	0.561638958222222	3	0.01430241	1	69.9183	0.009803922	0.3333333	0.01423499	0.574604020552147
GO:0051252	regulation of RNA metabolic process	0.2909189	15.70962	27	1.718692	0.5	0.0009719298	0.561638958222222	3624	17.27731	30	1.736382	0.2941176	0.008278146	0.001228059	0.262485113709677
GO:0046967	cytosol to ER transport	1.866413e-05	0.001007863	1	992.1981	0.01851852	0.001007365	0.561638958222222	2	0.009534938	1	104.8775	0.009803922	0.5	0.009512431	0.476038704410646
GO:0090342	regulation of cell aging	0.00362421	0.1957073	3	15.32901	0.05555556	0.001028376	0.561638958222222	39	0.1859313	3	16.13499	0.02941176	0.07692308	0.0008487336	0.217841624
