ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0044707	single-multicellular organism process	0.4717849	69.82417	96	1.374882	0.6486486	1.105714e-05	0.08447075175	5396	67.59187	117	1.730977	0.4365672	0.02168273	3.041974e-11	1.990971983e-07
GO:0007275	multicellular organism development	0.4324649	64.0048	90	1.406145	0.6081081	1.290615e-05	0.08447075175	4722	59.14915	107	1.808986	0.3992537	0.02265989	2.776454e-11	1.990971983e-07
GO:0032502	developmental process	0.4659767	68.96455	94	1.363019	0.6351351	2.566229e-05	0.103398662675	5388	67.49166	115	1.703914	0.4291045	0.02134373	1.484079e-10	4.8566485275e-07
GO:0048856	anatomical structure development	0.4475872	66.2429	91	1.373732	0.6148649	3.159623e-05	0.103398662675	5040	63.13251	110	1.742367	0.4104478	0.0218254	1.304636e-10	4.8566485275e-07
GO:0044767	single-organism developmental process	0.4639297	68.66159	93	1.354469	0.6283784	4.198504e-05	0.10991683472	5348	66.99061	114	1.701731	0.4253731	0.02131638	2.085543e-10	5.09362879666667e-07
GO:0051615	histamine uptake	7.538325e-05	0.01115672	2	179.2641	0.01351351	6.136399e-05	0.1308134751	1	0.01252629	1	79.83209	0.003731343	1	0.01252629	0.430534909973753
GO:0038202	TORC1 signaling	0.0005189996	0.07681194	3	39.05643	0.02027027	6.995373e-05	0.1308134751	8	0.1002103	2	19.95802	0.007462687	0.25	0.004164519	0.244207389066667
GO:0048731	system development	0.3977869	58.87246	82	1.392841	0.5540541	8.723265e-05	0.1427344235625	4168	52.20958	96	1.838743	0.358209	0.02303263	2.334742e-10	5.09362879666667e-07
GO:0006139	nucleobase-containing compound metabolic process	0.2771507	41.01831	62	1.51152	0.4189189	0.0001450399	0.17491051732	3795	47.53728	74	1.556673	0.2761194	0.01949934	3.802656e-05	0.0125777914926829
GO:0034654	nucleobase-containing compound biosynthetic process	0.196741	29.11767	48	1.648484	0.3243243	0.0001682367	0.17491051732	2304	28.86057	55	1.905714	0.2052239	0.02387153	1.871307e-06	0.001633027242
GO:0010468	regulation of gene expression	0.3276715	48.49537	70	1.443437	0.472973	0.0001686614	0.17491051732	4185	52.42253	81	1.545137	0.3022388	0.01935484	1.795891e-05	0.00810628041034483
GO:0019438	aromatic compound biosynthetic process	0.2026235	29.98828	49	1.633972	0.3310811	0.0001731329	0.17491051732	2377	29.77499	56	1.880773	0.2089552	0.02355911	2.217287e-06	0.00166213926421053
GO:1901362	organic cyclic compound biosynthetic process	0.2086114	30.87449	50	1.61946	0.3378378	0.0001796571	0.17491051732	2481	31.07773	57	1.834111	0.2126866	0.02297461	3.840632e-06	0.00218582056
GO:0044699	single-organism process	0.7764693	114.9175	132	1.148651	0.8918919	0.000221841	0.17491051732	13115	164.2823	192	1.16872	0.7164179	0.01463973	0.0002325271	0.0358091734
GO:0051171	regulation of nitrogen compound metabolic process	0.3309862	48.98596	70	1.428981	0.472973	0.0002357294	0.17491051732	4240	53.11147	79	1.487438	0.2947761	0.01863208	9.234671e-05	0.0210320218048387
GO:0009607	response to biotic stimulus	0.05177849	7.663217	19	2.479376	0.1283784	0.0002502143	0.17491051732	845	10.58472	18	1.700565	0.06716418	0.02130178	0.02035066	0.580865200650759
GO:1901360	organic cyclic compound metabolic process	0.3013453	44.59911	65	1.457428	0.4391892	0.0002714701	0.17491051732	4156	52.05927	78	1.498292	0.2910448	0.01876805	8.161629e-05	0.0209481811
GO:0018130	heterocycle biosynthetic process	0.2007038	29.70416	48	1.615935	0.3243243	0.0002734341	0.17491051732	2370	29.68731	55	1.852643	0.2052239	0.02320675	4.403796e-06	0.002401903735
GO:0048513	animal organ development	0.3014419	44.6134	65	1.456961	0.4391892	0.0002741547	0.17491051732	3102	38.85656	72	1.852969	0.2686567	0.02321083	8.308345e-08	0.0001048459496
GO:2000377	regulation of reactive oxygen species metabolic process	0.01408157	2.084072	9	4.318469	0.06081081	0.0002756551	0.17491051732	163	2.041785	8	3.918139	0.02985075	0.04907975	0.001067462	0.100525737985612
GO:0043314	negative regulation of neutrophil degranulation	0.0001619055	0.02396202	2	83.46542	0.01351351	0.0002806951	0.17491051732	2	0.02505258	1	39.91604	0.003731343	0.5	0.02489625	0.585084223518851
GO:0044271	cellular nitrogen compound biosynthetic process	0.2247323	33.26038	52	1.563422	0.3513514	0.0003082314	0.17491051732	2809	35.18635	60	1.705207	0.2238806	0.02135991	1.949234e-05	0.00850515768666667
