ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0002376	immune system process	0.1251584	193.8703	308	1.588691	0.198838	1.862446e-16	2.437941814e-12	1744	179.5762	249	1.386598	0.1130277	0.1427752	2.918997e-08	2.15873845932203e-06
GO:0002682	regulation of immune system process	0.09012561	139.6046	239	1.711978	0.1542931	3.841727e-16	2.5144103215e-12	1150	118.4132	188	1.587661	0.08533818	0.1634783	5.534781e-11	8.5028454244186e-09
GO:0044238	primary metabolic process	0.5060814	783.9201	931	1.187621	0.6010329	3.799686e-14	1.6563974735e-10	7840	807.269	919	1.138406	0.4171584	0.1172194	1.267457e-07	7.93828331578947e-06
GO:0006950	response to stress	0.209511	324.5325	449	1.383529	0.2898644	5.061566e-14	1.6563974735e-10	2953	304.0645	389	1.279334	0.1765774	0.1317304	4.542835e-08	3.21436271081081e-06
GO:0048518	positive regulation of biological process	0.4300224	666.1047	811	1.217526	0.5235636	8.656169e-14	2.2661850442e-10	5281	543.7739	730	1.34247	0.3313663	0.1382314	2.339528e-21	6.124884304e-18
GO:0031325	positive regulation of cellular metabolic process	0.2552997	395.4593	525	1.32757	0.3389283	1.490241e-13	3.251209115e-10	2914	300.0487	435	1.449765	0.197458	0.1492793	1.979555e-17	9.254419625e-15
GO:0044237	cellular metabolic process	0.5035851	780.0533	923	1.183252	0.5958683	1.903261e-13	3.27327721875e-10	7645	787.1902	916	1.163632	0.4157966	0.1198169	1.197023e-09	1.2535224856e-07
GO:1902105	regulation of leukocyte differentiation	0.02783198	43.11174	98	2.273163	0.06326662	2.000475e-13	3.27327721875e-10	276	28.41916	70	2.463127	0.03177485	0.2536232	5.871003e-13	1.37234695125e-10
GO:0071704	organic substance metabolic process	0.5299766	820.9337	961	1.170618	0.6204003	4.337841e-13	5.736568145e-10	8229	847.3235	965	1.13888	0.438039	0.1172682	3.655973e-08	2.67355790893855e-06
GO:0010604	positive regulation of macromolecule metabolic process	0.2610257	404.3288	532	1.315761	0.3434474	4.382405e-13	5.736568145e-10	2912	299.8428	438	1.460766	0.1988198	0.1504121	3.703728e-18	2.424089976e-15
GO:0009893	positive regulation of metabolic process	0.2732537	423.2699	552	1.304132	0.3563589	5.441385e-13	6.47524815e-10	3106	319.8186	460	1.438316	0.2088062	0.1481005	7.562126e-18	3.9595291736e-15
GO:1903706	regulation of hemopoiesis	0.03662442	56.73123	116	2.044729	0.07488702	1.103611e-12	1.20385566583333e-09	378	38.9219	83	2.132476	0.0376759	0.2195767	1.746821e-11	2.9695957e-09
GO:0008152	metabolic process	0.5484657	849.5733	985	1.159406	0.6358941	1.880632e-12	1.893633995e-09	8684	894.174	1006	1.125061	0.45665	0.1158452	1.933048e-07	1.1449592e-05
GO:0080134	regulation of response to stress	0.1004513	155.599	244	1.568133	0.157521	2.025277e-12	1.893633995e-09	1128	116.1479	189	1.627236	0.0857921	0.1675532	5.555844e-12	1.0854626561194e-09
GO:0001817	regulation of cytokine production	0.04558675	70.61388	131	1.855159	0.08457069	2.479453e-11	2.16373598466667e-08	577	59.41253	98	1.649484	0.04448479	0.169844	4.337434e-07	2.3080085796748e-05
GO:0044260	cellular macromolecule metabolic process	0.4198781	650.3912	777	1.194666	0.5016139	5.566794e-11	4.55433334125e-08	5948	612.4536	728	1.188662	0.3304585	0.1223941	6.326354e-09	5.4842366794702e-07
GO:0048522	positive regulation of cellular process	0.4018015	622.3905	748	1.201818	0.4828922	6.394509e-11	4.62963193e-08	4820	496.3057	666	1.341915	0.302315	0.1381743	4.894947e-19	5.3395713525e-16
GO:0048584	positive regulation of response to stimulus	0.1643335	254.5525	353	1.386747	0.227889	6.498464e-11	4.62963193e-08	1825	187.9166	290	1.543238	0.1316387	0.1589041	6.40921e-15	2.04625753414634e-12
GO:0048583	regulation of response to stimulus	0.2979167	461.4729	580	1.256845	0.3744351	6.727051e-11	4.62963193e-08	3491	359.4612	517	1.438264	0.23468	0.1480951	2.798953e-20	4.07092164111111e-17
GO:0009987	cellular process	0.8087012	1252.678	1348	1.076095	0.8702389	7.111289e-11	4.62963193e-08	14736	1517.336	1608	1.059752	0.7299138	0.1091205	4.735165e-06	0.000198029743929712
GO:0051707	response to other organism	0.04927267	76.32336	137	1.794994	0.08844416	7.427217e-11	4.62963193e-08	802	82.58032	99	1.198833	0.04493872	0.1234414	0.03203693	0.232205655426357
GO:0009607	response to biotic stimulus	0.05177849	80.20489	142	1.770466	0.09167205	8.166589e-11	4.859120455e-08	845	87.00795	104	1.195293	0.04720835	0.1230769	0.03066806	0.226933242170718
GO:0044249	cellular biosynthetic process	0.2868266	444.2944	561	1.262676	0.3621691	8.579399e-11	4.88279708304348e-08	3683	379.2311	493	1.299999	0.2237857	0.1338583	2.921797e-11	4.7217682382716e-09
GO:0065007	biological regulation	0.7141606	1106.235	1217	1.100128	0.7856682	9.05726e-11	4.93998055833333e-08	12332	1269.801	1330	1.047408	0.6037222	0.1078495	0.003222435	0.0458821573913043
GO:0043207	response to external biotic stimulus	0.04970372	76.99106	137	1.779427	0.08844416	1.304233e-10	6.828963988e-08	806	82.99219	99	1.192883	0.04493872	0.1228288	0.03583961	0.254967660271739
GO:1901576	organic substance biosynthetic process	0.2899173	449.0819	564	1.255896	0.3641059	1.787776e-10	9.00076455384615e-08	3750	386.1299	501	1.297491	0.2274172	0.1336	2.564162e-11	4.1956100725e-09
GO:0009058	biosynthetic process	0.2952923	457.4078	572	1.250525	0.3692705	2.402383e-10	1.16471086925926e-07	3833	394.6763	508	1.287131	0.2305946	0.1325333	6.35186e-11	9.44839175e-09
GO:0050896	response to stimulus	0.5096722	789.4823	911	1.153921	0.5881214	3.430322e-10	1.603675535e-07	8144	838.5713	898	1.070869	0.407626	0.1102652	0.003250938	0.0461548572885033
GO:0002684	positive regulation of immune system process	0.05706198	88.389	150	1.697044	0.09683667	4.149626e-10	1.87305532206897e-07	731	75.2696	118	1.567698	0.05356332	0.1614227	4.684714e-07	2.4529162504e-05
GO:1903707	negative regulation of hemopoiesis	0.01500305	23.23973	58	2.495726	0.03744351	6.616474e-10	2.88698815533333e-07	147	15.13629	37	2.444456	0.01679528	0.2517007	1.979458e-07	1.15674576875e-05
GO:0034641	cellular nitrogen compound metabolic process	0.3108111	481.4464	594	1.233782	0.3834732	7.646231e-10	3.22868270290323e-07	4393	452.3384	536	1.184954	0.2433046	0.1220123	2.683423e-06	0.00011947621452381
GO:1901700	response to oxygen-containing compound	0.1323067	204.9431	290	1.415027	0.1872176	7.942207e-10	3.2488590509375e-07	1394	143.5374	215	1.497868	0.09759419	0.1542324	4.847199e-10	5.56577499210526e-08
GO:0010468	regulation of gene expression	0.3276715	507.5631	620	1.221523	0.4002582	1.2312e-09	4.88376e-07	4185	430.921	530	1.229924	0.240581	0.1266428	2.298644e-08	1.75960526081871e-06
GO:0048519	negative regulation of biological process	0.3896151	603.5137	719	1.191356	0.4641704	1.455208e-09	5.6025508e-07	4806	494.8641	665	1.343803	0.3018611	0.1383687	3.726867e-19	4.43497173e-16
GO:0043170	macromolecule metabolic process	0.455129	704.9948	822	1.165966	0.5306649	1.52187e-09	5.6917938e-07	6610	680.6184	782	1.148955	0.3549705	0.1183056	5.880957e-07	3.04275601304348e-05
GO:0002252	immune effector process	0.02610795	40.44121	83	2.052362	0.05358296	1.681532e-09	6.11423718888889e-07	417	42.93765	54	1.257638	0.02451203	0.1294964	0.04617659	0.299975961836228
GO:0009966	regulation of signal transduction	0.2500066	387.2603	491	1.267881	0.3169787	1.762103e-09	6.18435672105263e-07	2801	288.4133	428	1.483981	0.1942805	0.1528026	5.751804e-19	5.79162418153846e-16
GO:0051093	negative regulation of developmental process	0.1096118	169.7887	247	1.454749	0.1594577	1.795306e-09	6.18435672105263e-07	958	98.64333	186	1.885581	0.08443032	0.1941545	4.072345e-18	2.53842838333333e-15
GO:0006793	phosphorus metabolic process	0.1492517	231.1908	318	1.375487	0.2052937	1.926938e-09	6.46759446666667e-07	1813	186.681	261	1.398107	0.1184748	0.1439603	5.955645e-09	5.23217403020134e-07
GO:0044271	cellular nitrogen compound biosynthetic process	0.2247323	348.1103	448	1.286948	0.2892189	2.099757e-09	6.8714547825e-07	2809	289.2371	375	1.296514	0.1702224	0.1334995	1.898062e-08	1.4701557147929e-06
GO:0010556	regulation of macromolecule biosynthetic process	0.3076121	476.4912	585	1.227725	0.377663	2.595159e-09	8.28551983170732e-07	3957	407.4443	503	1.234525	0.228325	0.1271165	3.722331e-08	2.70696182166667e-06
GO:0050776	regulation of immune response	0.04306017	66.70021	118	1.76911	0.07617818	3.708108e-09	1.15569366e-06	617	63.53125	91	1.432366	0.04130731	0.1474878	0.0002767391	0.00648034851341682
GO:0060255	regulation of macromolecule metabolic process	0.4239006	656.6221	770	1.172669	0.4970949	3.924773e-09	1.19477392023256e-06	5751	592.1689	708	1.195605	0.3213799	0.123109	4.224659e-09	3.86718785384615e-07
GO:0006807	nitrogen compound metabolic process	0.3368253	521.7424	631	1.209409	0.4073596	4.125851e-09	1.2274406725e-06	4726	486.6267	579	1.189824	0.2628234	0.1225138	4.91782e-07	2.56471170517928e-05
GO:0010941	regulation of cell death	0.1415059	219.1926	302	1.377784	0.1949645	4.781351e-09	1.39084187977778e-06	1592	163.925	246	1.500686	0.1116659	0.1545226	1.907162e-11	3.20060904871795e-09
GO:0006796	phosphate-containing compound metabolic process	0.1443906	223.661	307	1.372613	0.1981924	4.978714e-09	1.41676883173913e-06	1749	180.091	252	1.399293	0.1143895	0.1440823	1.045476e-08	8.50017443478261e-07
GO:0006952	defense response	0.06797323	105.2905	166	1.57659	0.1071659	7.823866e-09	2.17902991361702e-06	1100	113.2648	129	1.138924	0.05855651	0.1172727	0.06225576	0.349604418018018
GO:0043067	regulation of programmed cell death	0.1288259	199.5513	278	1.393125	0.1794706	8.531298e-09	2.32655605875e-06	1472	151.5689	225	1.484474	0.1021335	0.1528533	4.212432e-10	4.96763377297297e-08
GO:0001775	cell activation	0.04824015	74.72399	127	1.699588	0.08198838	9.191623e-09	2.45547643e-06	565	58.17691	89	1.529817	0.04039946	0.1575221	3.057581e-05	0.000985806287931034
GO:0023051	regulation of signaling	0.2792167	432.5067	534	1.234663	0.3447385	1.048896e-08	2.746009728e-06	3108	320.0245	464	1.449889	0.2106219	0.1492921	1.102485e-18	8.0746974e-16
GO:0070887	cellular response to chemical stimulus	0.2015823	312.251	404	1.293831	0.2608134	1.071001e-08	2.74890256666667e-06	2224	229.0008	341	1.489078	0.1547889	0.1533273	3.24427e-15	1.14777011621622e-12
GO:0010646	regulation of cell communication	0.2781266	430.8181	532	1.23486	0.3434474	1.118172e-08	2.81478297692308e-06	3085	317.6562	462	1.454402	0.209714	0.1497569	7.381331e-19	6.901544485e-16
GO:0045321	leukocyte activation	0.04008925	62.09825	110	1.771387	0.07101356	1.200267e-08	2.9644330245283e-06	465	47.88011	75	1.566412	0.03404448	0.1612903	5.751537e-05	0.00168703275749441
GO:0048523	negative regulation of cellular process	0.3689604	571.5197	679	1.188061	0.4383473	1.248518e-08	3.02650011481482e-06	4473	460.5758	615	1.335285	0.2791648	0.1374916	7.66014e-17	3.34237442e-14
GO:0051246	regulation of protein metabolic process	0.2060063	319.1037	411	1.287982	0.2653325	1.280785e-08	3.0482683e-06	2590	266.6871	356	1.334898	0.1615978	0.1374517	1.76311e-09	1.8030554609375e-07
GO:0050789	regulation of biological process	0.6887307	1066.844	1166	1.092944	0.7527437	1.638492e-08	3.82997505e-06	11715	1206.27	1253	1.038739	0.5687699	0.1069569	0.01824091	0.161333453986486
GO:0065009	regulation of molecular function	0.26082	404.0101	502	1.242543	0.3240801	1.73436e-08	3.98294252631579e-06	3146	323.9373	456	1.40768	0.2069905	0.144946	5.647733e-16	2.174377205e-13
GO:0034645	cellular macromolecule biosynthetic process	0.2380526	368.7434	464	1.258327	0.2995481	1.785867e-08	4.03051707413793e-06	2937	302.417	401	1.325984	0.1820245	0.1365339	2.970445e-10	3.81207108333333e-08
GO:0009059	macromolecule biosynthetic process	0.2400117	371.7782	467	1.256125	0.3014848	1.9513e-08	4.32924016949153e-06	2966	305.403	405	1.326116	0.1838402	0.1365475	2.323352e-10	3.07198764444444e-08
GO:0010628	positive regulation of gene expression	0.17661	273.5689	359	1.312284	0.2317624	2.32816e-08	5.07926906666667e-06	1783	183.5919	277	1.508781	0.1257376	0.1553561	4.420802e-13	1.07163515148148e-10
GO:2000112	regulation of cellular macromolecule biosynthetic process	0.302839	469.0977	570	1.215099	0.3679793	2.424806e-08	5.2033951704918e-06	3858	397.2505	487	1.225927	0.2210622	0.1262312	1.655821e-07	9.94252150917431e-06
GO:0018130	heterocycle biosynthetic process	0.2007038	310.8902	400	1.286628	0.2582311	2.507247e-08	5.28017563333333e-06	2370	244.0341	329	1.348172	0.1493418	0.1388186	2.840644e-09	2.65600214e-07
GO:0051254	positive regulation of RNA metabolic process	0.1531034	237.1572	318	1.340883	0.2052937	2.541261e-08	5.28017563333333e-06	1499	154.349	237	1.535481	0.1075806	0.1581054	4.567378e-12	9.19799661846154e-10
GO:0034654	nucleobase-containing compound biosynthetic process	0.196741	304.7518	393	1.289574	0.2537121	2.73431e-08	5.592518421875e-06	2304	237.2382	323	1.361501	0.1466182	0.140191	1.383146e-09	1.42562056220472e-07
GO:0032774	RNA biosynthetic process	0.1816942	281.4443	367	1.303988	0.236927	3.00972e-08	5.99369878333333e-06	2041	210.1577	293	1.394191	0.1330005	0.1435571	7.989882e-10	8.64359961818182e-08
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.1910497	295.936	383	1.294199	0.2472563	3.022033e-08	5.99369878333333e-06	1930	198.7282	298	1.499535	0.1352701	0.1544041	1.060453e-13	2.89194370208333e-11
