ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0031056	regulation of histone modification	0.01193163	1.276685	8	6.266229	0.07476636	4.693672e-05	0.316955151333333	143	1.109512	8	7.21038	0.04819277	0.05594406	1.622006e-05	0.0151341169466667
GO:0010628	positive regulation of gene expression	0.17661	18.89727	35	1.852119	0.3271028	0.0001233751	0.316955151333333	1783	13.83398	33	2.385431	0.1987952	0.01850813	2.203782e-06	0.005769501276
GO:0031058	positive regulation of histone modification	0.007111912	0.7609746	6	7.884626	0.05607477	0.0001266228	0.316955151333333	88	0.6827763	6	8.787651	0.03614458	0.06818182	6.385328e-05	0.0346362324
GO:1902275	regulation of chromatin organization	0.01385853	1.482863	8	5.394968	0.07476636	0.0001313193	0.316955151333333	170	1.319	8	6.065202	0.04819277	0.04705882	5.600343e-05	0.0346362324
GO:0045893	positive regulation of transcription, DNA-templated	0.1486704	15.90773	31	1.948738	0.2897196	0.000140942	0.316955151333333	1435	11.13391	29	2.604656	0.1746988	0.02020906	1.839953e-06	0.005769501276
GO:1902680	positive regulation of RNA biosynthetic process	0.1489146	15.93386	31	1.945543	0.2897196	0.0001452812	0.316955151333333	1441	11.18046	29	2.59381	0.1746988	0.02012491	1.999084e-06	0.005769501276
GO:1905269	positive regulation of chromatin organization	0.007573683	0.8103841	6	7.403896	0.05607477	0.0001775052	0.331934724	96	0.7448469	6	8.055346	0.03614458	0.0625	0.0001037977	0.0357555761315789
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.1242609	13.29592	27	2.030699	0.2523364	0.000224672	0.350754258555556	1145	8.883851	25	2.814095	0.1506024	0.02183406	2.719009e-06	0.00593197130166667
GO:0051254	positive regulation of RNA metabolic process	0.1531034	16.38206	31	1.892313	0.2897196	0.0002411603	0.350754258555556	1499	11.63047	29	2.493449	0.1746988	0.01934623	4.341989e-06	0.00811951943
GO:0002889	regulation of immunoglobulin mediated immune response	0.003022377	0.3233943	4	12.3688	0.03738318	0.0003360271	0.4398594739	54	0.4189764	4	9.547077	0.02409639	0.07407407	0.0008171164	0.118462989615385
GO:0010557	positive regulation of macromolecule biosynthetic process	0.1645419	17.60598	32	1.817564	0.2990654	0.0003858849	0.459203031	1679	13.02706	30	2.302898	0.1807229	0.01786778	1.381357e-05	0.0151341169466667
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.1910497	20.44232	35	1.712134	0.3271028	0.000580221	0.611758330615385	1930	14.97453	36	2.404083	0.2168675	0.01865285	5.655319e-07	0.005769501276
GO:0002376	immune system process	0.1251584	13.39195	26	1.941465	0.2429907	0.0006075522	0.611758330615385	1744	13.53139	26	1.921459	0.1566265	0.01490826	0.0009492242	0.132184518914894
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	0.00368639	0.3944437	4	10.14086	0.03738318	0.0007044338	0.646220138666667	48	0.3724235	4	10.74046	0.02409639	0.08333333	0.000521219	0.104965487846154
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.001617327	0.173054	3	17.33563	0.02803738	0.000740512	0.646220138666667	23	0.1784529	3	16.81116	0.01807229	0.1304348	0.0007247096	0.115688398341463
GO:0010468	regulation of gene expression	0.3276715	35.06085	51	1.454614	0.4766355	0.0009665427	0.718320295	4185	32.47067	56	1.724633	0.3373494	0.01338112	1.126661e-05	0.0151341169466667
GO:0031328	positive regulation of cellular biosynthetic process	0.1733754	18.55117	32	1.724959	0.2990654	0.0009727701	0.718320295	1800	13.96588	30	2.148092	0.1807229	0.01666667	5.119567e-05	0.0346362324
GO:0046486	glycerolipid metabolic process	0.0189883	2.031748	8	3.937496	0.07476636	0.001041475	0.718320295	259	2.009535	7	3.483393	0.04216867	0.02702703	0.004178126	0.331172375389222
GO:1902931	negative regulation of alcohol biosynthetic process	0.0004634147	0.04958538	2	40.33447	0.01869159	0.001179064	0.718320295	10	0.07758822	2	25.77711	0.01204819	0.2	0.002584856	0.239534094366197
GO:0043620	regulation of DNA-templated transcription in response to stress	0.004253505	0.455125	4	8.788794	0.03738318	0.001192201	0.718320295	53	0.4112176	4	9.727211	0.02409639	0.0754717	0.0007611501	0.1172171154
GO:0006824	cobalt ion transport	0.0004750372	0.05082898	2	39.34763	0.01869159	0.001237944	0.718320295	6	0.04655293	1	21.48092	0.006024096	0.1666667	0.04566446	0.808584668825911
GO:0032287	peripheral nervous system myelin maintenance	0.0004832898	0.05171201	2	38.67574	0.01869159	0.001280593	0.718320295	8	0.06207058	2	32.22139	0.01204819	0.25	0.001624855	0.183300836324786
