ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0048519	negative regulation of biological process	0.3896151	199.0933	276	1.386285	0.5401174	4.233267e-12	5.541346503e-08	4806	184.1982	286	1.552676	0.3487805	0.05950895	9.625517e-17	1.2599801753e-12
GO:0048523	negative regulation of cellular process	0.3689604	188.5388	261	1.384331	0.5107632	4.653594e-11	3.045777273e-07	4473	171.4354	267	1.557438	0.3256098	0.05969148	1.359756e-15	5.93306868e-12
GO:0002376	immune system process	0.1251584	63.95594	116	1.813749	0.2270059	1.394468e-10	6.08452870666667e-07	1744	66.84179	118	1.765363	0.1439024	0.06766055	7.271812e-10	2.50494787052632e-07
GO:0019222	regulation of metabolic process	0.4453432	227.5704	293	1.287514	0.5733855	4.269986e-09	1.3973529185e-05	6108	234.0996	315	1.345581	0.3841463	0.05157171	3.397186e-10	1.5334194737931e-07
GO:0097012	response to granulocyte macrophage colony-stimulating factor	0.0007419962	0.3791601	8	21.09927	0.01565558	7.199844e-09	1.6937877495e-05	13	0.4982473	6	12.04221	0.007317073	0.4615385	4.238906e-06	0.000324487014853801
GO:0002682	regulation of immune system process	0.09012561	46.05418	87	1.889079	0.1702544	7.763733e-09	1.6937877495e-05	1150	44.07572	84	1.905811	0.102439	0.07304348	9.445402e-09	2.06114136433333e-06
GO:0031323	regulation of cellular metabolic process	0.4240069	216.6675	280	1.292302	0.5479452	1.177376e-08	2.07812913e-05	5784	221.6817	303	1.366825	0.3695122	0.05238589	1.606163e-10	8.409869468e-08
GO:0031325	positive regulation of cellular metabolic process	0.2552997	130.4582	188	1.441075	0.3679061	1.270056e-08	2.07812913e-05	2914	111.684	187	1.674366	0.2280488	0.06417296	2.383296e-13	2.57982855307692e-10
GO:0010468	regulation of gene expression	0.3276715	167.4401	228	1.361681	0.446184	1.611247e-08	2.34346924777778e-05	4185	160.3973	232	1.446408	0.2829268	0.05543608	5.072304e-10	1.897041696e-07
GO:0048518	positive regulation of biological process	0.4300224	219.7414	282	1.283326	0.5518591	2.079644e-08	2.722253996e-05	5281	202.4034	303	1.497011	0.3695122	0.0573755	1.142542e-15	5.93306868e-12
