Cell_type	Age
X2020_246s_A1_S1_L002_R1_001.2020_246s_A1_S1_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_A2_S9_L002_R1_001.2020_246s_A2_S9_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_A5_S33_L002_R1_001.2020_246s_A5_S33_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_A6_S41_L002_R1_001.2020_246s_A6_S41_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_A7_S49_L002_R1_001.2020_246s_A7_S49_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b-	Adult
X2020_246s_A12_S89_L002_R1_001.2020_246s_A12_S89_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_A17_S129_L002_R1_001.2020_246s_A17_S129_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_A18_S137_L002_R1_001.2020_246s_A18_S137_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_A20_S153_L002_R1_001.2020_246s_A20_S153_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_A24_S185_L002_R1_001.2020_246s_A24_S185_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_B2_S201_L002_R1_001.2020_246s_B2_S201_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_B5_S225_L002_R1_001.2020_246s_B5_S225_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_B12_S281_L002_R1_001.2020_246s_B12_S281_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_B14_S297_L002_R1_001.2020_246s_B14_S297_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_B17_S321_L002_R1_001.2020_246s_B17_S321_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_B18_S329_L002_R1_001.2020_246s_B18_S329_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_B24_S377_L002_R1_001.2020_246s_B24_S377_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_C2_S10_L002_R1_001.2020_246s_C2_S10_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
X2020_246s_C5_S34_L002_R1_001.2020_246s_C5_S34_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_C24_S186_L002_R1_001.2020_246s_C24_S186_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_D5_S226_L002_R1_001.2020_246s_D5_S226_L002_R1_001_accepted_hits_sorted_rm_dup.bam	LMPP	Adult
X2020_246s_D6_S234_L002_R1_001.2020_246s_D6_S234_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_D12_S282_L002_R1_001.2020_246s_D12_S282_L002_R1_001_accepted_hits_sorted_rm_dup.bam	GMP	Adult
X2020_246s_D14_S298_L002_R1_001.2020_246s_D14_S298_L002_R1_001_accepted_hits_sorted_rm_dup.bam	CD49b+	Adult
