aHSC	myLT_HSC 	TAZ_induced 	LT_HSC_Kim	LT_HSC_Cabezas_Wallscheid	HSC_Gazit	Gene_expression_commons_HSCup_MPPdown	ABM_HSC_Manesia	FL_HSC_Manesia	IER	Adhesion_molecules_KEGG
na	na	na	na	na	na	na	na	na	na	na
Abcb1a	Dnm3	Ace	Hbb-bs	Smtnl1	0610009L18Rik	0610010K14Rik	Plk2	Cpsf2	Rpa2	Cd2
Abcb1b	Ptafr	Chrnb1	Gm15915	Arxes1	0610040B09Rik	0610011F06Rik	Gbp5	Nusap1	Hspa8	Vsir
Acpp	Thsd4	Aldh3a1	Epdr1	Glis1	1110006O17Rik	1300002E11Rik	Serpina3f	Plk4	Dtymk	Igsf11
Acsl4	Gstm2	Alox5	Art4	Gfi1	1110021L09Rik	2010011I20Rik	Ndrg1	Ube2c	Sqle	Cd80
Adgrg2	Tm4sf1	Rhod	Hba-a2	Gm15034	1810073O08Rik	2310003C23Rik	Dusp1	Bard1	Mcm5	Cd274
Alcam	Gpx3	Bgn	Ly6a	Sema6d	2610305D13Rik	2310003F16Rik	Ifi203	Itga9	Stmn1	Cd28
Amotl2	Sbspon	Bmp2	Aldh1a1	Inhba	2700008G24Rik	2310011J03Rik	Chrnb1	Hist1h2ak	Dmd	Cd86
Arhgef28	Gpr183	Anxa2	Aplp2	Atf7ip2	2810055G20Rik	2310036O22Rik	Mfsd6	Tspan2	Prmt5	Ctla4
Art4	Gprc5c	Car8	Aqp1	Shd	2810410L24Rik	2410001C21Rik	Plscr4	2810417H13Rik	Bcl3	Icosl
B3galt1	Cadm1	Car2	Atp1b2	Slamf8	2810432L12Rik	2410075B13Rik	Cyp26b1	Ckap2l	Nasp	Icos
Bmpr1a	Ramp2	Serpinh1	Car1	Dnm3	2900006B11Rik	2510006D16Rik	Nlrc5	Frem1	Ss18	H2-Aa
Casp12	Dhrs3	Cd24a	Cdkn1c	Neo1	2900018N21Rik	LOC100505293	Atp6v0a1	Mcm6	Mcm3	H2-Ab1
Cavin2	Selp	Cd9	Cish	Gm9378	2900052L18Rik	2810408A11Rik	Zbp1	Zgrf1	Orc6	H2-Eb1
Cd200r4	Gda	Cdkn1c	Cpox	Cyp26b1	2900072G11Rik	2900005J15Rik	Cyp2j6	Prrg3	Sfpq	H2-DMa
Cd38	Ehd3	Clca1	Epor	A3galt2	2900084O13Rik	4632415K11Rik	Cyld	Anln	Mybl2	H2-DMb1
Cd63	Clca1	Cnn2	Mecom	Gimap3	2900092N22Rik	4833403J16Rik	Eml5	Hbb-b1	Orc5	H2-DMb2
Cd9	Ptprk	Col4a5	Fhl1	Pianp	3110050N22Rik	4930422I07Rik	Cbx7	Vrk1	Wrn	H2-Oa
Chrna7	Vwf	Csrp3	Gda	Zfp711	4933406E20Rik	4930578N16Rik	Hhex	Banf1	Pttg1	H2-Ob
