p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm15965	3.26294347166404e-67	1.31368964065421	1	0.825	4.91366657397888e-63
Gm27010	4.14244770040304e-55	1.4479609294405	0.996	0.568	6.23811199203694e-51
Arglu1	1.12242829106549e-49	2.51957561159193	0.966	0.279	1.69026476351552e-45
Ptp4a2	2.16072219647307e-47	2.51141471738425	0.996	0.718	3.2538315556688e-43
Set	1.91584430467234e-41	1.91243182061654	0.991	0.764	2.88506993840608e-37
Gnb1	1.01144924056541e-40	2.77124307314481	0.97	0.693	1.52314141136746e-36
Kdm6b	1.14869568344903e-40	2.73582867224197	0.888	0.214	1.7298208297059e-36
Gm28875	1.64489631806032e-34	3.7152329963715	0.845	0.25	2.47704936536703e-30
Lst1	5.08592396977028e-34	2.32619387044191	0.858	0.343	7.65889290607707e-30
Srsf2	4.81341291872785e-33	2.02344704208119	0.966	0.675	7.24851851431227e-29
Sod1	5.10433983291737e-33	1.40236292188998	0.991	0.961	7.68662535439026e-29
Socs2	1.59010494947725e-32	3.25029645908684	0.79	0.136	2.3945390434178e-28
Cbx3	1.69552784005307e-31	1.40514098175116	0.987	0.604	2.55329537433592e-27
Luc7l3	4.73978227867302e-31	1.92402026272879	0.897	0.411	7.13763813345371e-27
Erdr1	5.71605748629703e-31	2.13559788676426	0.914	0.404	8.6078109686147e-27
Mettl23	1.4429626011189e-30	1.5358924977624	0.987	0.721	2.17295738102495e-26
Gm26785	4.72956554599397e-30	1.00846023765504	0.798	0.171	7.12225275571232e-26
Csnk2a1	2.29133079034344e-29	2.55407454537676	0.88	0.354	3.45051503717819e-25
Klf13	8.45681828912533e-28	3.15546967082959	0.815	0.418	1.27351226615938e-23
Actr2	1.08369013417183e-27	1.81050089967387	0.914	0.35	1.63192897304935e-23
Mbtd1	2.27164722565322e-27	1.277861478779	0.996	0.561	3.42087355711118e-23
Tmsb10	2.43538798347225e-27	1.17557695968931	0.97	0.821	3.66745076431086e-23
Sept2	2.56245337792889e-27	1.59351420074388	0.957	0.611	3.85879854182312e-23
Rbm39	5.96869229336428e-27	1.08855525858293	1	0.939	8.98825372457727e-23
Mbnl1	7.29757573869532e-27	1.7652816611965	0.983	0.811	1.09894193049013e-22
Ndufa3	1.89927256048869e-26	1.76083560507183	0.888	0.661	2.86011454883991e-22
Hist1h2ap	2.12995975186413e-25	1.79999237572523	0.635	0.175	3.20750639033219e-21
2410006H16Rik	1.39556962591835e-24	1.30351459319455	0.94	0.782	2.10158829967045e-20
Pan3	4.93006763530606e-24	1.49248670636678	0.871	0.289	7.4241888520074e-20
Zscan26	6.1635299956704e-24	1.60445477330442	0.764	0.171	9.28165982048006e-20
Cox17	9.91897571131489e-24	1.6674396879486	0.747	0.382	1.49369855236691e-19
Gm21987	1.06761788875216e-23	1.49044533408534	0.704	0.35	1.60772577867188e-19
Gsk3b	1.26729529670842e-23	2.01813930535771	0.901	0.704	1.90841998731321e-19
Nras	5.22980740482246e-23	2.24206633592677	0.833	0.354	7.87556697092214e-19
Rpgrip1	2.10203487741656e-22	1.7476295395389	0.91	0.364	3.16545432190159e-18
Crebbp	2.35642837234622e-22	1.83477998435296	0.897	0.379	3.54854548591618e-18
Ndufa4	3.21321871907845e-22	1.10432799449992	0.957	0.857	4.83878606906024e-18
Enah	3.90985491786832e-22	2.17928090576644	0.597	0.114	5.88785052081791e-18
Aim1l	5.07129513510233e-22	1.1140042837928	0.648	0.114	7.6368633439506e-18
Slc25a36	5.30622158884918e-22	1.74650768366726	0.854	0.45	7.99063909064797e-18
Ifi203	9.60356126702266e-22	1.20758378916935	0.923	0.618	1.44620029120094e-17
Zfp488	1.00621644114402e-21	1.42056836330831	0.691	0.196	1.51526133871878e-17
Pim1	1.11513990408046e-21	1.44812323516879	0.893	0.271	1.67928918155477e-17
C330006A16Rik	1.2109866328502e-21	2.41636370900075	0.931	0.811	1.82362477040911e-17
Gm16712	1.25045841284341e-21	1.96929664168938	0.828	0.318	1.88306532390089e-17
1810037I17Rik	1.77570449817732e-21	1.34508437538059	0.751	0.386	2.67403340380522e-17
Ebi3	1.95747649331822e-21	2.0499054778192	0.794	0.35	2.9477638512879e-17
RP24-81A5.2	3.01295390642812e-21	1.76294638627273	0.914	0.464	4.53720728769011e-17
Gm10767	3.64798131887907e-21	1.08297250703612	0.721	0.221	5.49349506809999e-17
Hmga2	9.95816434351815e-21	2.16664838420259	0.584	0.114	1.4995999684904e-16
Gm26377	2.08236907043063e-72	-1.15350642828468	1	1	3.13583958316149e-68
RP23-411L6.3	3.51221391639783e-71	-2.6262856285618	0.639	0.993	5.28904293670349e-67
Aldh1a1	1.18426817309113e-61	-4.85459102114526	0.094	0.946	1.78338944185793e-57
Selp	2.83433157164854e-58	-6.17264812413094	0.039	0.882	4.26821991374554e-54
Gas7	9.67458397245707e-53	-2.18435723387686	0.159	0.929	1.45689560041231e-48
Gm29013	5.89427163475366e-51	-2.11271514937774	0.021	0.782	8.87618365477554e-47
Rpsa	4.22453753245613e-50	-1.03625538064734	1	1	6.36173107012569e-46
Gm16587	2.20589655527296e-49	-3.72464522234387	0.009	0.704	3.32185962258555e-45
RP24-370G18.1	1.23078113294197e-48	-1.63962262427621	0.103	0.925	1.85343330809732e-44
1700097M23Rik	2.09225021184325e-47	-1.84280463994545	0.009	0.704	3.15071959401476e-43
