p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Gm26377	2.08236907043063e-72	-1.15350642828468	1	1	3.13583958316149e-68
RP23-411L6.3	3.51221391639783e-71	-2.6262856285618	0.639	0.993	5.28904293670349e-67
Aldh1a1	1.18426817309113e-61	-4.85459102114526	0.094	0.946	1.78338944185793e-57
Selp	2.83433157164854e-58	-6.17264812413094	0.039	0.882	4.26821991374554e-54
Gas7	9.67458397245707e-53	-2.18435723387686	0.159	0.929	1.45689560041231e-48
Gm29013	5.89427163475366e-51	-2.11271514937774	0.021	0.782	8.87618365477554e-47
Rpsa	4.22453753245613e-50	-1.03625538064734	1	1	6.36173107012569e-46
Gm16587	2.20589655527296e-49	-3.72464522234387	0.009	0.704	3.32185962258555e-45
RP24-370G18.1	1.23078113294197e-48	-1.63962262427621	0.103	0.925	1.85343330809732e-44
1700097M23Rik	2.09225021184325e-47	-1.84280463994545	0.009	0.704	3.15071959401476e-43
Bhlhe41	7.36173910779644e-47	-1.91696345501054	0.987	1	1.10860429224307e-42
Gm16548	1.69923134955455e-45	-3.63084531240936	0.047	0.711	2.55887248929419e-41
Gm26917	8.45505493641e-44	-1.62450748937905	0.991	1	1.27324672287398e-39
Acta2	3.68721936741953e-43	-1.6269204468363	0.039	0.525	5.55258364539707e-39
Slc34a2	5.48207457804728e-43	-2.02360069303004	0.82	0.982	8.2554561070814e-39
Ndrg1	1.14182878947382e-42	-4.31387985809627	0.12	0.893	1.71947997406863e-38
Lars2	1.57440113774613e-41	-2.00385919545564	1	1	2.3708906733319e-37
Plau	1.79335377628383e-41	-1.61704017541487	0.206	0.954	2.70061145170582e-37
Gm7389	6.87837999210985e-39	-1.86917385935733	0.12	0.811	1.03581524301182e-34
H2-Aa	8.84536119361708e-39	-4.48136882711447	0.069	0.843	1.3320229421468e-34
Gm17035	1.98148661226837e-38	-3.50174038632949	0.103	0.782	2.98392068941494e-34
Mrpl23-ps1	9.85594258484078e-38	-2.38208102487617	0.215	0.868	1.48420639385117e-33
H2-Q7	5.9509630022374e-37	-1.46363684403034	0.97	1	8.9615551850693e-33
