orig.ident	nCount_RNA	nFeature_RNA	plate	Cell_type	Age	Age_Cell_type	pool	Pool_Cell_type	percent.mt	percent.ERCC
X2020_246s_A1_S1_L002_R1_001.2020_246s_A1_S1_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	149057	5269	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.77343566555076	0.104657949643425
X2020_246s_A2_S9_L002_R1_001.2020_246s_A2_S9_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	106888	3308	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	1.61196766709079	0.0991692238604895
X2020_246s_A5_S33_L002_R1_001.2020_246s_A5_S33_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	166763	4410	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	1.45296018901075	0.0719584080401528
X2020_246s_A6_S41_L002_R1_001.2020_246s_A6_S41_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	206199	7415	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	2.02571302479643	0.0164889257464876
X2020_246s_A7_S49_L002_R1_001.2020_246s_A7_S49_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	91967	4969	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.54112888318636	0.059804060152011
X2020_246s_A8_S57_L002_R1_001.2020_246s_A8_S57_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	30696	3470	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	3.39457909825384	0.0977326035965598
X2020_246s_A11_S81_L002_R1_001.2020_246s_A11_S81_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	48713	4269	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	2.60094841212818	0.104694845318498
X2020_246s_A12_S89_L002_R1_001.2020_246s_A12_S89_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	96741	6012	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.48559555927683	0.0361790760897655
X2020_246s_A13_S97_L002_R1_001.2020_246s_A13_S97_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	13435	2511	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	4.80833643468552	0.506140677335318
X2020_246s_A14_S105_L002_R1_001.2020_246s_A14_S105_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	31504	3560	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	4.62480954799391	0.263458608430675
X2020_246s_A17_S129_L002_R1_001.2020_246s_A17_S129_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	52183	5430	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	4.6739359561543	0.0728206504033881
X2020_246s_A18_S137_L002_R1_001.2020_246s_A18_S137_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	91741	6287	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	3.12946229057891	0.0359708309261944
X2020_246s_A19_S145_L002_R1_001.2020_246s_A19_S145_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	30371	2900	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	3.52968292120773	0.111948898620394
X2020_246s_A20_S153_L002_R1_001.2020_246s_A20_S153_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	60261	4048	246s	CD49b+	Adult	Adult_CD49b+	246s	246s_CD49b+	2.98202817742819	0.107864124392227
X2020_246s_A23_S177_L002_R1_001.2020_246s_A23_S177_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	40228	3197	246s	LMPP	Adult	Adult_LMPP	246s	246s_LMPP	2.70955553345928	0.263498061052004
X2020_246s_A24_S185_L002_R1_001.2020_246s_A24_S185_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	279115	7877	246s	GMP	Adult	Adult_GMP	246s	246s_GMP	1.87449617541157	0.0229296168246063
X2020_246s_B1_S193_L002_R1_001.2020_246s_B1_S193_L002_R1_001_accepted_hits_sorted_rm_dup.bam	X2020	1545	540	246s	CD49b-	Adult	Adult_CD49b-	246s	246s_CD49b-	2.6537216828479	0.0647249190938511
