Chr	Start	End	Location	Gene.Name	padj_Juvenile_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Juvenile_CD49bneg_vs_Juvenile_CD49bpos
chr11	96291963	96295995	Merged-chr11-96294079-86	Hoxb6	0.000241366260657568	0.454733643069566
chr5	66777773	66778957	Merged-chr5-66778417-24	Limch1	0.000713366158779595	1.43429142271343
chr11	83077715	83080117	Merged-chr11-83078440-61	Slfn2	0.0010831617286991	0.460089039114079
chr19	43598782	43601816	Merged-chr19-43600372-58	Nkx2-3	0.0026005646270405	0.316748619927445
chr1	130508128	130509362	Merged-chr1-130508717-32	Cd55	0.00493258463124301	0.688406103767046
chr16	88744261	88745602	Merged-chr16-88745010-22	Krtap13	0.00493258463124301	1.04327962666249
chr1	119807225	119808715	Merged-chr1-119807853-29	Ptpn4	0.00527218511989532	0.737751300116211
chr17	56756779	56758518	Merged-chr17-56757605-57	Nrtn	0.00868945074056309	0.398897302451158
chr3	30177344	30179250	Merged-chr3-30178418-44	Mecom	0.00904504852087158	0.502948100055601
chr13	101623964	101627706	Merged-chr13-101625643-75	Pik3r1	0.0104394737580333	0.413097536404909
chr5	107749057	107750539	Merged-chr5-107749729-57	Gfi1	0.0128687038035274	0.439970435992447
chr12	31073442	31075822	Merged-chr12-31074617-57	Fam110c	0.0128687038035274	0.323516934438883
chr9	58940995	58942786	Merged-chr9-58941982-33	Neo1	0.0128687038035274	0.576506583297403
chr4	124935164	124937616	Merged-chr4-124936895-57	Cdca8	0.0133104556151625	0.401899569375649
chr7	34387847	34391258	Merged-chr7-34389476-58	Lsm14a	0.0133104556151625	0.276813047812661
chr12	101975103	101976980	Merged-chr12-101975969-57	Cpsf2	0.0160941831743809	0.287742418029238
chr2	26341480	26343392	Merged-chr2-26342384-38	Dnlz	0.0167151385960047	0.397494187579817
chr2	170826015	170827665	Merged-chr2-170827002-38	Dok5	0.0167151385960047	0.566690364702516
chr9	73038837	73040218	Merged-chr9-73039517-57	Pigb	0.0170110158990379	0.420133315368004
chr4	87822301	87824659	Merged-chr4-87823470-48	Mllt3	0.0184023296464567	0.354514239009262
chr13	19395109	19396544	Merged-chr13-19395761-57	Stard3nl	0.0206468191757094	0.322215407098189
chr16	94525546	94527802	Merged-chr16-94526668-57	Vps26c	0.0206468191757094	0.312140790752664
chr8	89040792	89047505	Merged-chr8-89043346-99	Sall1	0.0211799830529325	0.395310699753557
chr13	55444150	55446711	Merged-chr13-55445113-57	Grk6	0.0219387113998686	0.255480471291173
chr2	31171401	31173573	Merged-chr2-31172178-47	Gpr107	0.0219387113998686	0.390123113858795
chr10	128546391	128549641	Merged-chr10-128548126-81	Zc3h10	0.0219557837289194	0.261299208566748
chr10	53434436	53436153	Merged-chr10-53435174-57	Gm36229	0.0219557837289194	0.520935406897372
chr9	60172300	60173411	Merged-chr9-60172848-31	Thsd4	0.0219557837289194	0.664707666829435
chr18	58658896	58660748	Merged-chr18-58659758-57	Isoc1	0.0219557837289194	0.372520830615505
chr11	90552969	90554645	Merged-chr11-90554091-44	Stxbp4	0.0230747514269466	0.465331234376824
chr13	114456051	114461063	Merged-chr13-114458577-107	Fst	0.0238499223086347	0.298117363043744
chr12	86725569	86726808	Merged-chr12-86726163-57	Gm32755	0.0248231076749304	0.313731918995573
chr19	23757855	23759957	Merged-chr19-23758916-57	Apba1	0.0259058046064539	0.31299473995256
chr9	66918609	66920710	Merged-chr9-66919564-57	Rab8b	0.0259058046064539	0.334690375706113
chr17	29393622	29395964	Merged-chr17-29394878-71	Fgd2	0.0259375537014598	0.303349778839535
chr12	16091555	16093648	Merged-chr12-16092721-57	Trib2	0.0261815782684642	0.401720956576512
chr8	46940979	46942472	Merged-chr8-46941579-57	Enpp6	0.0261815782684642	0.437078238050079
chr6	88189207	88191040	Merged-chr6-88189865-57	Gata2	0.0261815782684642	0.306004769660789
chr17	32535697	32537749	Merged-chr17-32536626-57	Cyp4f16	0.0282336668509762	0.465973146886152
chr6	4902461	4904633	Merged-chr6-4903533-57	Ppp1r9a	0.0283612413017704	0.308742736086811
chr8	110845663	110847672	Merged-chr8-110846744-57	Cog4	0.0283612413017704	0.343631737086829
chr4	57064000	57066035	Merged-chr4-57065245-57	Frrs1l	0.0286773856977035	0.371835103054476
chr1	60860041	60861068	Merged-chr1-60860750-50	Ctla4	0.0288546806858857	0.590956137121657
chr2	92182756	92186066	Merged-chr2-92184514-79	Phf21a	0.0288546806858857	0.318374891257103
chr15	79544624	79547409	Merged-chr15-79546391-61	Ddx17	0.0288792017570562	0.269225358407499
chr8	121650136	121654026	Merged-chr8-121651757-86	Zcchc14	0.0295354027777982	0.332410186166392
chr5	108000499	108001853	Merged-chr5-108001218-57	Dipk1a	0.0299751394457224	0.568394586158942
chr11	88717599	88719552	Merged-chr11-88718536-57	C030037D09Rik	0.0299751394457224	0.375322046269374
chr17	11719378	11720923	Merged-chr17-11720096-30	D17Ertd648e	0.0299751394457224	0.513472724454233
chr4	155490421	155493563	Merged-chr4-155491733-60	Gnb1	0.0299771121793249	0.30293005045092
chr1	90602800	90604198	Merged-chr1-90603421-57	Cops8	0.0299771121793249	0.352352423704752
chr7	27506899	27509007	Merged-chr7-27507951-58	Prx	0.0299771121793249	0.29016394523142
chr5	15733676	15735644	Merged-chr5-15734406-27	Speer4c	0.0304027120200605	0.720371673297189
chr12	16869983	16871215	Merged-chr12-16870685-52	Rock2	0.0309375073427281	0.388848900062191
chr13	34162375	34164009	Merged-chr13-34163182-57	Psmg4	0.0309375073427281	0.318195122459836
chr9	99575369	99576663	Merged-chr9-99576004-57	Dbr1	0.0319145364186036	0.385844733481469
chr2	18585625	18588519	Merged-chr2-18587190-67	Commd3	0.0325116711640377	0.334663519897185
chr11	97063001	97064291	Merged-chr11-97063719-40	Mir8103	0.0329876568500815	0.500709627450167
chr5	37336281	37339271	Merged-chr5-37337709-47	Evc2	0.033354728830802	0.347832013834049
chrX	95281736	95282945	Merged-chrX-95282291-31	Arhgef9	0.0338172687623235	0.727056816884153
chr13	101737601	101738167	Merged-chr13-101737889-7	Pik3r1	0.0338443711888523	0.715332834843064
chr6	30508949	30510480	Merged-chr6-30509702-57	Tmem209	0.0339803584433053	0.301219406179162
chr8	3392362	3393579	Merged-chr8-3392983-47	Arhgef18	0.0341471500720421	0.472799536903121
