Chr	Start	End	Location	Gene.Name	padj_Juvenile_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Juvenile_CD49bneg_vs_Juvenile_CD49bpos
chr1	78665632	78666982	Merged-chr1-78666165-53	Utp14b	0.000241366260657568	-1.07209738390416
chr13	15441691	15442888	Merged-chr13-15442244-53	Gli3	0.000918470391092837	-1.00375168910351
chr17	79471014	79473863	Merged-chr17-79472403-47	4930429F11Rik	0.0010831617286991	-0.525320725673343
chr4	59844165	59845952	Merged-chr4-59845038-58	Snx30	0.00274011874261365	-0.572043096074552
chr18	81571449	81572651	Merged-chr18-81572123-49	Mir5127	0.0056391276286148	-1.19026498153153
chr17	34210420	34211473	Merged-chr17-34210821-55	Tap2	0.00958316653764518	-0.782353725420268
chr1	58303193	58304833	Merged-chr1-58303933-56	Aox2	0.00958316653764518	-0.675006762968251
chr1	73998120	73999520	Merged-chr1-73998816-56	Tns1	0.00972732990429002	-0.514290982613192
chr17	67328999	67330376	Merged-chr17-67329642-55	Ptprm	0.0104394737580333	-0.73063200372467
chr5	125202625	125204684	Merged-chr5-125203394-50	Ncor2	0.0118867802014777	-0.562630310855826
chr3	20824941	20826581	Merged-chr3-20825904-53	Agtr1b	0.0128687038035274	-0.752169418566353
chr18	33907612	33908573	Merged-chr18-33908219-56	Epb41l4a	0.0142132291565876	-0.600258872603283
chr15	78605455	78607911	Merged-chr15-78606635-68	Cyth4	0.0142132291565876	-0.538209277194272
chr3	94915563	94916610	Merged-chr3-94916111-50	Selenbp1	0.0180723622020473	-0.897038103018151
chr5	149367599	149369050	Merged-chr5-149368277-43	Medag	0.021133385704935	-0.732049010711658
chr7	49296403	49298206	Merged-chr7-49297411-46	Nav2	0.0219557837289194	-0.487599408918838
chr8	126550680	126551615	Merged-chr8-126551128-57	Irf2bp2	0.0219557837289194	-0.56018072021425
chr10	116738189	116739237	Merged-chr10-116738784-45	4930579P08Rik	0.0219557837289194	-0.7533109058931
chr2	35898337	35899748	Merged-chr2-35899005-57	9030204H09Rik	0.0219557837289194	-0.63965094245042
chr17	8837766	8840226	Merged-chr17-8838985-67	Pde10a	0.0219557837289194	-0.56667321272374
chr11	70437184	70438365	Merged-chr11-70437791-31	Mir7115	0.0219557837289194	-0.746930216213684
chr5	121851333	121851920	Merged-chr5-121851639-4	Pheta1	0.0221894076726925	-0.940344371429215
chr4	55715881	55716935	Merged-chr4-55716478-33	Klf4	0.0230632868167325	-0.802296332505769
chr1	180910950	180913392	Merged-chr1-180912202-59	Pycr2	0.0244102165134559	-0.495423409416766
chr6	83119258	83119955	Merged-chr6-83119623-34	Wbp1	0.0261815782684642	-0.519402532838711
chr5	67024356	67025322	Merged-chr5-67024900-39	Limch1	0.0261815782684642	-0.818763331674199
chr17	27374994	27376358	Merged-chr17-27375659-50	Mir7218	0.026410266363733	-0.705565478401151
chr2	69556376	69557265	Merged-chr2-69556899-49	Lrp2	0.0280802082981937	-0.981380242446987
chr8	117032458	117034016	Merged-chr8-117033231-53	Gcsh	0.0282336668509762	-0.673847881210946
chr13	63394153	63395587	Merged-chr13-63394837-57	Fancc	0.0282336668509762	-0.684541860144289
chr18	80080772	80082133	Merged-chr18-80081405-44	Pard6g	0.0286773856977035	-0.769028315641422
chr2	166125331	166127511	Merged-chr2-166126042-55	Sulf2	0.0294087533092487	-0.586690489699438
chr5	36590082	36591399	Merged-chr5-36590596-46	Tbc1d14	0.0299771121793249	-0.708400897041956
chr12	82447812	82448891	Merged-chr12-82448376-50	Sipa1l1	0.0309375073427281	-0.842672490765624
chr4	10744287	10745922	Merged-chr4-10745154-48	1700123O12Rik	0.0321940728486906	-0.466905252270266
chr13	24327930	24329412	Merged-chr13-24328596-42	Cmah	0.0342665536895563	-0.67515529965214
chr5	3501195	3503227	Merged-chr5-3502228-54	Fam133b	0.0354319833195032	-0.509326971743123
chr1	92651088	92652985	Merged-chr1-92651994-48	Otos	0.036045862943333	-0.530914228584873
chr1	120531643	120533554	Merged-chr1-120532460-45	Marco	0.036914071628482	-0.716012100239378
chr7	66178821	66181263	Merged-chr7-66179805-57	Chsy1	0.0377915055585746	-0.495854264557778
chr17	12871115	12873026	Merged-chr17-12872395-49	Mas1	0.0377915055585746	-0.564270756497519
chr17	83846028	83848438	Merged-chr17-83847332-81	Haao	0.0414229913577588	-0.498669337949557
chr19	25051111	25053723	Merged-chr19-25052638-57	Dock8	0.0417838990769534	-0.427884216759663
chr19	32935425	32936924	Merged-chr19-32935846-50	Pten	0.0417838990769534	-0.65289018959405
chr2	25172478	25173371	Merged-chr2-25172895-34	Nrarp	0.0434751470465439	-0.860022173191594
chr11	117234738	117236159	Merged-chr11-117235403-24	Sept9	0.0439402848746306	-0.614289394502711
chr9	75099890	75101343	Merged-chr9-75100558-54	Myo5a	0.0439402848746306	-0.614588522547803
chr5	116496552	116497679	Merged-chr5-116497051-36	Srrm4os	0.0439402848746306	-0.681652277736088
chr7	113037350	113039711	Merged-chr7-113038393-71	Rassf10	0.0471086877635805	-0.543715623962781
chr6	126811294	126812226	Merged-chr6-126811774-41	Ndufa9	0.0478757319162609	-0.739260170813275
chr17	25247158	25248849	Merged-chr17-25248191-52	Mir3547	0.0483152834314756	-0.685643136122103
chr11	107875307	107877079	Merged-chr11-107876062-46	Cacng5	0.048487000428325	-0.413256873284658
chr4	135119539	135121131	Merged-chr4-135120406-57	Runx3	0.048487000428325	-0.342958039886506
chr9	14364796	14366245	Merged-chr9-14365645-55	Endod1	0.0492739232954783	-0.645388664752873
