Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Old_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Old_CD49bpos
chr3	100960829	100962255	Merged-chr3-100961397-30	Ttf2	3.26362874279775e-09	0.952249113524747
chr9	61314676	61316601	Merged-chr9-61315643-30	B930092H01Rik	1.86039019241015e-07	0.66177195856178
chr19	24571594	24572909	Merged-chr19-24572241-24	Pip5k1b	1.86039019241015e-07	1.00007949519188
chr19	11107552	11108481	Merged-chr19-11107997-57	1700017D01Rik	1.61637131072267e-05	0.654207201689487
chr6	76386802	76388497	Merged-chr6-76387627-45	Lrrtm1	2.49630945940301e-05	0.787362903997731
chr3	94648956	94650039	Merged-chr3-94649398-29	Tuft1	2.49630945940301e-05	0.900571322413109
chr11	101220728	101222071	Merged-chr11-101221554-48	Ezh1	3.21908223120255e-05	0.744536448168764
chr7	6727458	6730905	Merged-chr7-6729304-52	Peg3	3.23937100404023e-05	0.619865167193169
chr11	117153829	117154589	Merged-chr11-117154344-28	Sec14l1	3.23937100404023e-05	0.736420861803435
chr19	57078900	57080063	Merged-chr19-57079560-55	Ablim1	4.70512130538236e-05	0.690453657953105
chr2	170826015	170827665	Merged-chr2-170827002-38	Dok5	6.18507967031427e-05	0.655409561845709
chr16	77602467	77603045	Merged-chr16-77602754-6	Mirlet7c-1	7.53129137797268e-05	1.91841307244077
chr2	84266705	84267826	Merged-chr2-84267131-16	Calcrl	8.82041293623589e-05	0.993791217197035
chr19	23967046	23967762	Merged-chr19-23967362-5	Fam189a2	9.25107919404297e-05	1.68466339290966
chr10	52132712	52134493	Merged-chr10-52133711-28	Ros1	0.00010059889087199	0.716438882827449
chr4	108943394	108944500	Merged-chr4-108943960-11	8030443G20Rik	0.00010059889087199	1.07753101384492
chr13	8643038	8645904	Merged-chr13-8644547-59	Wdr37	0.000106135431600124	0.521166484573883
chr15	54113684	54114867	Merged-chr15-54114360-32	Tnfrsf11b	0.00013058014400924	0.850614687844017
chr10	7141656	7142685	Merged-chr10-7142407-24	Cnksr3	0.00013738669929554	0.874801258271873
chr14	63131669	63132937	Merged-chr14-63132327-56	Ctsb	0.000173202858626146	0.596506687518847
chr4	84352193	84353701	Merged-chr4-84352871-26	Bnc2	0.000173202858626146	1.05898681490479
chr8	46888211	46889345	Merged-chr8-46888739-30	Enpp6	0.000189386102854954	0.567277611815407
chr10	121520874	121521548	Merged-chr10-121521178-13	Rassf3	0.000210355680799433	0.962408816491345
chr7	117090741	117091381	Merged-chr7-117091095-9	Xylt1	0.000210355680799433	1.23025867479775
chr3	101830508	101832193	Merged-chr3-101831754-46	Mab21l3	0.000273147662947017	0.532496330488601
chr12	109417140	109418636	Merged-chr12-109417799-32	Dlk1	0.00038235717847583	0.725986733233708
chr10	99941084	99942290	Merged-chr10-99941797-38	Kitl	0.000386144488051521	0.591274578045369
chr3	19953442	19954789	Merged-chr3-19954163-53	Cp	0.000411639892558834	1.14384370416497
chr3	151293710	151295185	Merged-chr3-151294316-57	Adgrl4	0.000645961640161664	0.441197690504079
chr1	151235734	151237492	Merged-chr1-151236661-51	C730036E19Rik	0.000702879359968631	0.742821955897623
chr2	157026966	157028533	Merged-chr2-157027737-36	Dsn1	0.000713781858804506	0.380286652323238
chr1	79932193	79933366	Merged-chr1-79932696-38	Serpine2	0.000923806123608831	0.731240277669359
chr5	101700419	101701351	Merged-chr5-101700801-34	Nkx6-1	0.000936746450183394	0.988005128861031
chr8	57601608	57603092	Merged-chr8-57602231-42	AW046200	0.00111104281303973	0.597975995343701
chr5	43093549	43095151	Merged-chr5-43094410-54	Cpeb2	0.00126458986019275	0.683811882184129
chr5	139796641	139797390	Merged-chr5-139797052-26	Mafk	0.00132510435012951	0.615328575186241
chr13	107599139	107601433	Merged-chr13-107600316-52	1700006H21Rik	0.00133907048829657	0.462624422176867
chr13	16017076	16019618	Merged-chr13-16018029-66	B230303A05Rik	0.00167400523703587	0.417439951233909
chr11	111773947	111775544	Merged-chr11-111774774-19	Kcnj2	0.00184128193246437	0.814492026143297
chr1	34849508	34852192	Merged-chr1-34850754-97	Plekhb2	0.00185595424253409	0.359783871613915
chr11	79286171	79288548	Merged-chr11-79287524-60	Wsb1	0.00192788292714995	0.462892556731827
chr12	80082771	80085053	Merged-chr12-80083689-56	Zfp36l1	0.00207816481965714	0.338144344340915
chr17	32107797	32109469	Merged-chr17-32108692-30	Pdxk-ps	0.00207858459388115	0.449225979891888
chr7	123096902	123098602	Merged-chr7-123098084-30	Tnrc6a	0.00214754673934025	0.83606678567356
chr4	32179698	32180624	Merged-chr4-32180035-48	Map3k7	0.0021579998336026	0.69523157920315
chr3	102755402	102757279	Merged-chr3-102756009-43	Tspan2os	0.00224346375475802	0.730135600314461
chr17	73875008	73876419	Merged-chr17-73875655-55	Ehd3	0.00228209241600371	0.419534529523896
chr8	115070152	115071172	Merged-chr8-115070543-47	Wwox	0.00247271244990638	0.575867977201669
chr13	93230469	93232263	Merged-chr13-93231163-57	Tent2	0.00247271244990638	0.435190165143953
chr1	176052829	176054322	Merged-chr1-176053754-21	Becn2	0.00255448543609185	0.835195824342515
chr16	84590221	84591810	Merged-chr16-84591033-38	4930529L06Rik	0.00256120411518766	0.605294490058721
chr9	107722930	107725327	Merged-chr9-107724404-57	Sema3f	0.00256120411518766	0.431636570149486
chr2	81696135	81697727	Merged-chr2-81697049-24	Zfp804a	0.00256120411518766	0.763079055920976
chr10	102916452	102917415	Merged-chr10-102916973-9	Alx1	0.00259458829826211	0.93782357110358
chr11	109721023	109723211	Merged-chr11-109722059-57	Fam20a	0.00262425927595032	0.40474973799992
chr2	135409193	135410014	Merged-chr2-135409647-21	9630028H03Rik	0.00264658683135516	1.05758186828138
chr3	52630104	52630947	Merged-chr3-52630516-45	Gm2447	0.00264749524812682	0.774803223244217
chr9	83546053	83548937	Merged-chr9-83547745-81	Sh3bgrl2	0.00273448149578738	0.475617090336474
chr17	86506601	86508249	Merged-chr17-86507292-27	2010106C02Rik	0.00277383983474396	0.694602661693516
chr19	43565609	43566467	Merged-chr19-43566161-41	Got1	0.00280045614934063	0.761555222090386
chr12	102426269	102426755	Merged-chr12-102426505-4	Lgmn	0.00281472292210977	1.54661410059213
chr6	31517342	31519424	Merged-chr6-31518519-47	Podxl	0.00290517660154178	0.363421198731353
chr14	13608405	13610382	Merged-chr14-13609367-29	Sntn	0.00294763720385122	0.500996998969099
chr3	86546114	86549172	Merged-chr3-86547615-57	Mab21l2	0.00297562197970457	0.372177885951919
chr1	54866990	54867829	Merged-chr1-54867397-22	Ankrd44	0.00297562197970457	0.708915473791514
chr6	31024080	31025512	Merged-chr6-31024693-19	Mir29a	0.00302661519285146	0.827675302544838
chr6	8622885	8623546	Merged-chr6-8623213-11	Glcci1	0.00310215387900439	1.02467376579654
chr15	74671786	74673815	Merged-chr15-74672961-57	Arc	0.00317438458302158	0.327715286734771
chr13	111234437	111236851	Merged-chr13-111235321-28	3110015C05Rik	0.00317438458302158	0.593419717283592
chr5	139963896	139965297	Merged-chr5-139964510-24	Elfn1	0.00346386422591521	0.972327405654789
chr9	115478735	115479972	Merged-chr9-115479311-48	Mir467h	0.00355363118556151	0.660665860147224
chr6	112327439	112328826	Merged-chr6-112328031-28	5031434C07Rik	0.00366993626115493	0.778388005738672
