Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Old_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Old_CD49bpos
chr1	42983025	42984615	Merged-chr1-42984073-33	Gpr45	9.50436103136524e-13	-1.61197069543817
chr7	19600296	19601161	Merged-chr7-19600660-38	Clasrp	1.86039019241015e-07	-0.980043246253682
chr11	119810191	119811962	Merged-chr11-119811198-51	Rptoros	2.23563113220537e-07	-0.821175326975817
chr1	87035421	87036639	Merged-chr1-87035955-45	Alppl2	1.38827725277949e-05	-1.14977766154113
chr13	30817255	30818249	Merged-chr13-30817605-38	Irf4	2.16309572590616e-05	-1.04898538892371
chr2	25233197	25234301	Merged-chr2-25233583-34	Slc34a3	2.36634754124489e-05	-0.925541068468643
chr2	65550373	65552497	Merged-chr2-65551321-49	Scn3a	2.49630945940301e-05	-0.782003276620833
chr7	100128242	100131151	Merged-chr7-100130118-61	Pold3	5.69169920918856e-05	-0.550428908561644
chr4	84684929	84686569	Merged-chr4-84685843-57	Bnc2	6.47830661995053e-05	-0.732538245879911
chr11	51643461	51644902	Merged-chr11-51644257-57	D930048N14Rik	0.000122825194122132	-0.824760699827473
chr4	138256692	138258375	Merged-chr4-138257400-57	Kif17	0.00013058014400924	-0.609365156499709
chr1	167288573	167289367	Merged-chr1-167288969-31	Mir6347	0.000199602287351789	-1.27544107011408
chr17	35787669	35788705	Merged-chr17-35788230-38	4833427F10Rik	0.000216015619017841	-1.14804918423966
chr15	8580604	8581916	Merged-chr15-8581413-56	Slc1a3	0.000271231248417859	-0.859964937063873
chr17	12505463	12508310	Merged-chr17-12507023-59	Slc22a3	0.00038235717847583	-0.587220438323844
chr12	71179431	71180487	Merged-chr12-71179746-33	2700049A03Rik	0.000523126961289617	-1.11867288821387
chr8	35288787	35289984	Merged-chr8-35289260-38	Ppp1r3b	0.000569150468513447	-0.995520635386241
chr19	45551854	45553115	Merged-chr19-45552484-56	Poll	0.00083451699094431	-0.699286334749199
chr2	153045612	153046910	Merged-chr2-153046081-49	Xkr7	0.000890522653864326	-0.698718909617305
chr4	142975418	142976190	Merged-chr4-142975797-34	Mir7021	0.000939199674990178	-0.778529797712695
chr4	139689339	139690978	Merged-chr4-139689889-44	Tas1r2	0.000990653246476875	-0.540948271593574
chr8	107576533	107579439	Merged-chr8-107577559-80	Psmd7	0.00111873845258416	-0.60752476840188
chr4	101507448	101512591	Merged-chr4-101509540-121	Dnajc6	0.00167400523703587	-0.388870209152521
chr2	126473856	126476504	Merged-chr2-126475427-84	Atp8b4	0.0018609206974232	-0.659473092482504
chr2	91041917	91043861	Merged-chr2-91042887-57	Rapsn	0.00214754673934025	-0.631603082618967
chr8	106315619	106316930	Merged-chr8-106316168-51	Smpd3	0.00214754673934025	-0.827763025309352
chr11	62761398	62762455	Merged-chr11-62762067-49	Zfp286	0.00227857502759451	-0.884734720031766
chr17	12512775	12514175	Merged-chr17-12513615-53	Slc22a3	0.00256960079582411	-0.863253066792737
chr7	144777749	144778305	Merged-chr7-144777931-10	Ano1	0.00260293490117352	-0.954024829033932
chr11	33274091	33275127	Merged-chr11-33274513-54	Tlx3	0.00272818595795904	-0.818354046542799
chr16	20493311	20493774	Merged-chr16-20493544-16	Eif2b5	0.00296601909643941	-1.26968970541235
chr9	88377397	88378285	Merged-chr9-88377851-29	Nt5e	0.00306681129636058	-1.10203217822704
chr1	71621092	71622375	Merged-chr1-71621734-28	Fn1	0.00317438458302158	-0.932451624474046
chr3	121754347	121755788	Merged-chr3-121755265-44	F3	0.00346386422591521	-0.765749520881418
chr5	96866973	96869710	Merged-chr5-96868212-95	Gm8013	0.00379959870392948	-0.518796396499509
chr7	142380957	142382233	Merged-chr7-142381463-52	Ctsd	0.00409870859946944	-0.725206303209631
chr6	88942748	88943740	Merged-chr6-88942986-7	Tpra1	0.00422016604905815	-1.04500969916483
chr7	80718445	80719229	Merged-chr7-80718734-18	Crtc3	0.00715717901164908	-1.09879709323617
chr7	127806769	127808020	Merged-chr7-127807462-51	Hsd3b7	0.00740427909589688	-0.776908370769533
chr4	32586501	32588847	Merged-chr4-32587650-86	Gja10	0.00775258060103919	-0.48899487430951
chr9	80057267	80058679	Merged-chr9-80057961-47	Senp6	0.00896996820933918	-0.747863256491672
chr15	81851326	81852223	Merged-chr15-81851743-27	Tob2	0.00915731175416061	-0.922006891213941
chr3	51226401	51227079	Merged-chr3-51226721-7	Noct	0.010465279949558	-0.85974917522305
chr8	70853784	70854569	Merged-chr8-70854080-57	Kcnn1	0.0108120011431927	-0.627726375167889
chr9	78070742	78072356	Merged-chr9-78071551-49	Gcm1	0.0110178838865106	-0.771359521635376
