chr3	145209668	145211016	Col24a1
chr17	64715730	64716991	Dreh
chr5	127536987	127538138	Slc15a4
chr16	23844526	23845405	Sst
chr1	138928517	138931491	Dennd1b
chr11	118603058	118604946	Engase
chr6	81737720	81738978	Mir7232
chr4	124685576	124686573	Utp11
chr19	47887090	47888219	Gsto2
chr5	75814274	75815595	Kdr
chr17	34217863	34219413	Tap2
chr11	107875307	107877079	Cacng5
chr1	15678220	15681022	Terf1
chr15	41824732	41826220	Oxr1
chr10	68976447	68977196	Gm33035
chr5	125582996	125584502	Tmem132b
chr6	96379924	96381472	1700123L14Rik
chr10	6240652	6242293	Rgs17
chr10	21773409	21774062	Gm5420
chr16	77704426	77705540	Mir125b-2
chr1	132001778	132002589	Elk4
chr2	160224965	160226557	Gm826
chr1	38307222	38309311	Gm5099
chr2	51991033	51992232	Nmi
chr4	102045141	102046674	Gm12789
chr17	4867358	4868943	Arid1b
chr5	144251923	144252588	Bri3
chr16	22919524	22920863	Fetub
chr4	21299595	21300946	Prdm13
chr9	107971403	107972600	Uba7
chr3	129509553	129510820	Gm35986
chr2	167833413	167835078	Ptpn1
chr16	28595966	28598508	Mir690
chr1	179818189	179820509	Ahctf1
chr16	93124863	93125733	1810053B23Rik
chr2	33760374	33762785	Nron
chr9	103076766	103078806	Rab6b
chr15	94564714	94566451	Irak4
chr4	130080900	130082298	Pef1
chr7	82109244	82110739	Gm20744
chr6	6191912	6193004	Slc25a13
chr7	72728496	72729622	Gm6567
chr15	88295629	88296630	B230214G05Rik
chr14	121934338	121935214	Gpr18
chr13	79442635	79443722	Nr2f1
chr10	118953388	118954714	Gm38403
chr4	129019866	129020915	Ak2
chr6	67531017	67535843	Tacstd2
chr13	41909091	41910941	Gm10790
chr3	34221083	34222346	Dnajc19
chr14	121591148	121592590	Slc15a1
chr9	34957537	34958345	4930581F22Rik
chr8	125839622	125841038	A730098A19Rik
chr15	44175781	44176469	Trhr
chr12	69998113	69998912	Sav1
chr11	30999356	31000695	Chac2
chr2	110172327	110173108	Ccdc34os
chr11	52333392	52334158	Vdac1
chr17	83522872	83523551	Cox7a2l
chr11	79728817	79730785	Mir365-2
chr6	108164306	108165548	Sumf1
chr4	120515041	120518626	Slfnl1
chr8	18910386	18913492	Xkr5
chr10	118049082	118050767	Mdm1
chr12	102521260	102522924	Chga
chr12	115647237	115648945	Mir6388
chr3	57486028	57488124	Tm4sf4
chr18	45778278	45780011	Kcnn2
chr12	114468621	114469761	Mir7094-1
chr3	84467041	84468718	Fhdc1
chr6	31517342	31519424	Podxl
chr19	28770215	28771160	Slc1a1
chr7	49320834	49321877	Nav2
chr14	73094146	73095799	Cysltr2
chr6	83119258	83119955	Wbp1
chr17	83982794	83983760	8430430B14Rik
chr4	47292716	47294714	Tgfbr1
chr9	55296058	55299083	Nrg4
chr11	46065495	46066328	Adam19
chr10	13375785	13378163	Phactr2
chr13	99679249	99680307	Map1b
chr2	167362973	167363867	B4galt5
chr18	45588630	45589818	Kcnn2
chr4	137325971	137327164	Cdc42
chr14	34484802	34486827	Bmpr1a
chr9	44029675	44032435	Thy1
chr4	8522577	8524052	Rab2a
chr18	39038908	39040892	Arhgap26
chr1	15798483	15800812	Terf1
chr2	157048388	157049420	Soga1
chr7	126625295	126626180	Nupr1
chr9	68940821	68943129	9530091C08Rik
chr15	100735311	100736354	I730030J21Rik
chr3	56122716	56123578	Nbea
chr19	21636789	21638104	1110059E24Rik
chr12	112096087	112097161	Aspg
chr7	119618335	119618970	Acsm1
chr16	31598105	31599366	Gm536
chr15	9596422	9597465	Il7r
chr12	111977550	111979468	Rd3l
chr2	93780625	93781418	Ext2
chr1	172579557	172581063	Slamf8
chr9	85798803	85799838	Tpbg
chr13	47707466	47708518	4930471G24Rik
chr12	53587486	53589100	Npas3
chr9	119537403	119538649	Scn5a
chr4	55715881	55716935	Klf4
chr14	59364513	59366598	Phf11d
chr11	3902531	3905069	Dusp18
chr11	20476989	20478016	Sertad2
chr13	53256771	53257794	Ror2
chr7	113912689	113913586	Spon1
chr6	96179657	96180689	1700123L14Rik
chr15	81838623	81840108	Tob2
chr1	72599237	72600291	Smarcal1
chr3	68764816	68765822	Gm35584
chr11	113985286	113986910	Sdk2
chr10	50638004	50640244	Ascc3
chr5	3497227	3498715	Fam133b
chr17	50418966	50420154	Plcl2
chr15	94657902	94659384	Tmem117
chr4	101507448	101512591	Dnajc6
chr3	52954456	52956773	Gm20750
chr12	86971006	86971606	Zdhhc22
chr19	24571594	24572909	Pip5k1b
chr7	133381898	133383120	Tex36
chr12	105397414	105399017	Gm2721
chr9	35161472	35164625	Dcps
chr1	167069792	167071023	Fam78b
chr11	75458328	75459236	Mir22hg
chr11	99818586	99819536	Gm11564
chr16	58224012	58224654	Dcbld2
chr1	39392171	39394042	Rpl31
chr14	13608405	13610382	Sntn
chr19	47281725	47283082	Mir6995
chr13	43040558	43043004	Phactr1
chr3	86249097	86250307	Lrba
chr11	105946477	105948904	Cyb561
chr9	34714738	34715773	Kirrel3
chr4	88536808	88538635	Ifnb1
chr1	105905684	105906949	Gm7160
chr8	121450570	121452642	1700018B08Rik
chr7	29555451	29557075	Sipa1l3
chr15	78988336	78989182	Triobp
chr12	55464043	55467333	Nfkbia
chr19	28743157	28744802	Glis3
chr11	31225201	31226427	Stc2
chr17	84332751	84333311	Thada
chr14	121822586	121826604	Dock9
chr9	42798709	42800363	Grik4
chr10	66920041	66922271	1110002J07Rik
chr1	131118306	131119553	Dyrk3
chr4	131393830	131395183	A930031H19Rik
chr17	44083098	44083859	Enpp5
chr1	13914341	13915802	Gm5523
chr3	99052063	99053008	Gm12440
chr19	21736105	21738680	Cemip2
chr19	45734288	45735178	4933429K18Rik
chr10	19008237	19009757	Tnfaip3
chr9	32057374	32058572	Arhgap32
chr3	104556236	104557352	Lrig2
chr14	67940384	67941961	Dock5
chr6	126403735	126405970	Gm10415
chr2	60545185	60546545	Pla2r1
chr7	126620729	126622540	Nupr1
chr14	34488156	34490008	Bmpr1a
chr16	91969361	91971776	Atp5o
chr11	73323846	73324952	Aspa
chr8	121163325	121164752	Foxl1
chr15	75720345	75721643	Rhpn1
chr10	23393825	23395671	Eya4
chr19	5363985	5364521	Banf1
chr10	41601991	41602589	5730435O14Rik
chr3	153154096	153155131	4930482G09Rik
chr12	70883713	70884407	Actr10
chr14	49012375	49013300	Ap5m1
chr13	15929477	15930483	Inhba
chr15	73997028	73998569	Mroh5
chr4	47310094	47311890	Tgfbr1
chr4	108943394	108944500	8030443G20Rik
chr10	59593777	59594526	Mcu
chr18	31237231	31238349	Rit2
chr4	131909766	131911660	Gm12992
chr5	146860215	146862216	Rasl11a
chr4	57294708	57295786	Ptpn3
chr3	41770136	41771249	D3Ertd751e
chr2	60085260	60086763	Gm13570
chr13	35394882	35396311	1700019C18Rik
chr3	67601372	67602457	Mfsd1
chr13	37108625	37112230	F13a1
chr17	73875008	73876419	Ehd3
chr18	33373587	33374417	Nrep
chr4	117039753	117042835	Eif2b3
chr16	6320457	6322165	1700123O21Rik
chr10	99328541	99329856	Dusp6
chr12	113943796	113944681	Adam6a
chr6	77724634	77725571	Ctnna2
chr2	147850989	147851908	A530006G24Rik
chr19	38038180	38038725	Myof
chr3	86872946	86873876	Dclk2
chr4	32215937	32217223	Bach2
chr10	86876589	86878291	Nt5dc3
