Chr	Start	End	Location	Gene.Name	padj_Old_CD49bneg_vs_Juvenile_CD49bpos	log2FoldChange_Old_CD49bneg_vs_Juvenile_CD49bpos
chr3	65438725	65439278	Merged-chr3-65438987-21	Ssr3	3.21056758475629e-16	-2.6382650654682
chr5	147339256	147341765	Merged-chr5-147340731-77	Urad	1.5823260923123e-15	-1.18399310508761
chr17	46340995	46341994	Merged-chr17-46341376-42	Abcc10	1.88527796491086e-14	-1.70419636055537
chr18	80080772	80082133	Merged-chr18-80081405-44	Pard6g	4.16057871336981e-14	-1.56301629123014
chr10	40275754	40276710	Merged-chr10-40276172-41	Rnu3a	9.88442480224129e-14	-2.17148591909655
chr17	86967578	86973371	Merged-chr17-86969882-88	Rhoq	1.13262916274661e-13	-0.811327648709168
chr11	52255658	52256950	Merged-chr11-52256375-22	Skp1a	3.13049638216506e-13	-2.29044377377171
chr4	119341969	119342798	Merged-chr4-119342391-11	Ccdc30	3.30225356962772e-13	-2.35106835668628
chr16	33954625	33955714	Merged-chr16-33955086-42	Umps	7.96299174601084e-13	-1.87545226183112
chr16	76561712	76563150	Merged-chr16-76562402-53	Gm30726	9.97721780128976e-13	-1.62968942453434
chr19	45563785	45564583	Merged-chr19-45564223-17	Dpcd	1.32606306755356e-12	-1.65448300396257
chr3	87900974	87902115	Merged-chr3-87901492-25	Hdgf	2.59478626097766e-12	-1.98198224420643
chr17	28293469	28295262	Merged-chr17-28294640-34	Fance	2.87870957875494e-12	-1.70236828700264
chr8	18568425	18569046	Merged-chr8-18568741-33	Mcph1	3.63953607035243e-12	-2.17815757301761
chr1	87035421	87036639	Merged-chr1-87035955-45	Alppl2	5.10914276537906e-12	-1.4187824582373
chr11	68498400	68499932	Merged-chr11-68499212-53	Pik3r6	9.01307365569432e-12	-1.02226607554805
chr1	152402797	152403471	Merged-chr1-152403146-15	Colgalt2	1.47773877126807e-11	-2.27230548898658
chr4	138256692	138258375	Merged-chr4-138257400-57	Kif17	1.57063501120238e-11	-0.824621437989371
chr6	84310359	84311349	Merged-chr6-84310947-18	Gm10445	1.64037531807304e-11	-1.65297518962755
chr8	120130498	120131844	Merged-chr8-120131332-53	6430548M08Rik	3.57838627266449e-11	-1.52425060544876
chr10	75136480	75137975	Merged-chr10-75137410-57	Specc1l	3.87904481433836e-11	-1.03263008019705
chr8	70853784	70854569	Merged-chr8-70854080-57	Kcnn1	6.32936286969113e-11	-1.07924519644267
chr8	70147489	70149119	Merged-chr8-70148356-32	Mef2b	9.1568204363715e-11	-1.00313387653083
chr16	91601195	91602190	Merged-chr16-91601792-22	Tmem50b	9.4753837752751e-11	-1.65815705167024
chr17	33947312	33948042	Merged-chr17-33947630-28	B3galt4	3.44696193826513e-10	-2.29281836380061
chr4	135058820	135059594	Merged-chr4-135059160-28	Runx3	3.80154154219392e-10	-2.25102973347093
chr4	32872088	32872903	Merged-chr4-32872473-44	Ankrd6	3.81027082355937e-10	-1.60191373498868
chr4	11341099	11341893	Merged-chr4-11341566-39	Dpy19l4	4.33553347336104e-10	-1.77376352043086
chr3	104743020	104744434	Merged-chr3-104743976-55	Tafa3	4.36438652139557e-10	-1.35905535475059
chr2	131089462	131090117	Merged-chr2-131089819-31	Siglec1	9.44896528664324e-10	-2.43817212119143
chr16	91365997	91367775	Merged-chr16-91367064-57	Ifnar2	1.12156174530005e-09	-0.715490007364868
chr2	53051011	53052294	Merged-chr2-53051661-46		1.18890179025152e-09	-1.11953112187678
chr13	51685568	51686159	Merged-chr13-51685818-5	Secisbp2	1.33349434456239e-09	-2.50914042752643
chr5	108548679	108550577	Merged-chr5-108549752-57	Cplx1	1.47666333264451e-09	-1.05058340445766
chr17	27118733	27121200	Merged-chr17-27119705-62	Uqcc2	1.66529929781139e-09	-0.943086868684062
chr16	22431368	22432123	Merged-chr16-22431760-28	Etv5	2.83837723884323e-09	-1.87258590838046
